cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2021","5/18/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","18","133621","14833","13713","2032","0","113329","1159","0","1964","796","0","667","133621","120041","119745","78626","119745","72.4492607218294","0","0","0","0","296","13580","13580","0","534","16612","-3566","0","0","0","250","129074","23817","135243","134997","114305","141414","0","0","0","0","7829","2462","0","0","15975","13530","1159","15975","0"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","12/31/2021","5/18/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","11","47077","10039","9182","20102","682","15446","173","0","520","23","0","265","47077","43427","43405","31515","43405","87.3566130741236","0","0","0","0","22","3650","3650","0","300","300","3050","0","502","0","182","45412","9144","45627.8","47123","0","47173","0","0","0","0","2187","0","0","0","2235","3763","0","2235","0"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2021","5/18/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","41","316170","89948","85235","31640","500","178669","1032","0","4473","528","0","10412","316170","288276","280265","214568","280265","67.3253196036665","0","0","0","0","8011","27894","27894","0","100","0","27794","0","17","0","583","296044","151208","300775.4","317455","148655","323096","6579","5152","0","1427","17879","9367","0","0","31458","28033","1032","31458","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2021","5/18/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","71","563017","107462","100657","159893","6915","266701","3419","0","6342","0","2855","12849","563017","513866","510396","256105","510396","61.6262803583044","0","0","0","0","3470","49151","49151","0","5165","15222","28764","0","786","0","1688","534166","307963","547338.4","556416","308116","549691","7908","4694","0","3214","12164","5208","0","0","90425","46996","3474","90425","0"
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","12/31/2021","5/18/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","93","999192","84079","77237","333870","0","555663","8578","0","4782","0","64","20734","999192","918787","913251","435169","913251","41.180831121506","0","0","2609","0","2927","80405","80405","0","61220","2918","16267","0","957","129","3431","966770","450948","933238","1004272","630576","999224","8437","0","0","8437","6790","10345","0","0","97471","80819","7892","97471","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","12/31/2021","5/18/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","102","682068","40402","39601","111807","24","504934","6906","0","1072","0","0","23829","682068","616628","612793","517552","612793","49.1889466341408","0","0","0","0","3835","65440","65440","0","1025","25549","38866","0","3526","0","1664","656366","307337","669188.8","683047.5","461787","707110","16160","14899","0","1261","39601","664","0","9957","114550","65168","5786","114550","0"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","12/31/2021","5/18/2022","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","17","69343","18524","15260","4070","1000","44475","476","0","630","0","0","644","69343","62480","62313","49176","62313","85.1497217276941","0","0","0","0","167","6863","6863","0","200","1320","5343","0","143","0","494","64805","7833","67485.4","68126","0","68137","0","0","0","0","3254","2915","0","0","5783","6787","0","5783","0"
"27552","10064","1412619","2784920","1ST CONSTITUTION BANK","Cranbury","NJ","8512","12/31/2021","5/18/2022","NM","2650 Rt. 130","1ST CONSTITUTION BCORP","26","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","11/8/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","179","1903178","324639","304528","348316","0","1113125","16681","0","28386","0","36673","52039","1903178","1683155","1658778","1143176","1658778","73.6837695956412","0","0","15814","0","8563","220023","219973","0","6061","117124","96788","50","11709","0","4315","1765969","232414","1842775.2","1906580.5","1392355","1892283","37580","29805","0","7775","28478","400","0","7275","593292","184511","16681","593292","0"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","12/31/2021","5/18/2022","NM","3956 W. Dempster St.","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","5/5/2020","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","10","141266","37398","31025","178","0","99230","1593","0","1257","0","1025","2178","141266","118454","104839","92633","104839","80.5151827267872","0","0","13402","0","213","22812","22812","0","2500","17000","3312","0","2106","0","241","130433","6339","140951.6","141011","91958","139033","956","956","0","0","11488","1500","13330","0","6368","21788","1155","6368","0"
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","12/31/2021","5/18/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","24","129090","25363","24345","24272","0","76164","874","0","1901","0","491","899","129090","117946","117721","99009","117721","85.994716590077","0","0","0","0","225","11144","11144","0","1013","1111","9020","0","113","0","262","124781","43155","126573.8","130671","57534","130594","0","0","0","0","1011","1262","0","0","10220","11313","721","10220","0"
