cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,idsccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,schtmres,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2021","5/18/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","2032","461","0","461","0","1571","531","0","0","0","1040","0","0","","0","0","","","0","992","540","9","531","452","452","0","0","0","0","0","2032","2031","0","0","0","0",""
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","12/31/2021","5/18/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","20102","12409","5186","7223","7693","0","0","0","0","0","0","0","0","","0","0","","","4294","5204","4275","4275","0","327","327","0","602","602","0","1468","18634","20097","0","0","0","0",""
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2021","5/18/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","31640","21476","0","21476","10164","0","0","0","0","0","0","0","0","","0","0","","","15915","4250","4250","4250","0","0","0","0","0","0","0","31640","0","31639","0","0","0","0",""
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2021","5/18/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","159893","119373","99889","19484","40511","0","0","0","0","0","0","0","9","","9","0","","","32796","7397","1","1","0","1163","1163","0","6233","0","6233","0","159884","159884","0","0","0","0",""
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","12/31/2021","5/18/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","333870","129747","0","129747","116721","83435","18911","0","49241","0","15283","3967","0","","0","0","","","14332","146732","87867","87867","0","20606","1695","18911","38259","3374","34885","0","333870","333867","0","0","0","0",""
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","12/31/2021","5/18/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","111807","83584","0","83584","17976","10247","0","0","0","0","10247","0","0","","0","0","","","65002","53426","52824","52824","0","602","602","0","0","0","0","18476","93331","111807","10000","9932","0","0",""
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","12/31/2021","5/18/2022","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","4070","3058","995","2063","0","1000","0","0","0","0","1000","0","12","","12","0","","","2980","2","2","2","0","0","0","0","0","0","0","0","4058","4058","500","500","0","0",""
"27552","10064","1412619","2784920","1ST CONSTITUTION BANK","Cranbury","NJ","8512","12/31/2021","5/18/2022","NM","2650 Rt. 130","1ST CONSTITUTION BCORP","26","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","11/8/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","348316","186086","0","186086","126290","32938","2098","0","12497","188","18155","3002","0","","0","0","","","85813","67308","33685","33685","0","18459","16361","2098","15164","3378","11786","123408","224908","348316","188","658","0","0",""
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","12/31/2021","5/18/2022","NM","3956 W. Dempster St.","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","5/5/2020","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","178","0","0","0","0","178","0","0","178","0","0","0","0","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","178","178","0","0","0","0",""
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","12/31/2021","5/18/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","24272","20100","0","20100","3633","0","0","0","0","0","0","0","539","","539","0","","","289","3772","3772","3772","0","0","0","0","0","0","0","0","23733","23734","8613","8490","0","0",""
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","12/31/2021","5/18/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","34989","34298","34298","0","191","500","0","0","0","0","500","0","0","","0","0","","","23104","0","0","0","0","0","0","0","0","0","0","34989","0","34989","0","0","0","0","0"
"6646","8805","480723","","1ST NATIONAL BANK","Lebanon","OH","45036","12/31/2021","5/18/2022","N","730 E. Main St.","","11","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","12/31/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","34795","10255","0","10255","18841","5699","848","0","4351","0","500","0","0","","0","0","","","19819","1560","0","0","0","972","124","848","588","588","0","22743","12052","34795","487","486","0","0","0"
"57633","0","1018927","4347208","1ST SECURITY BANK OF WASHINGTON","Mountlake Terrac","WA","98043","12/31/2021","5/18/2022","SB","6920 220th St. Sw, # 300","FS BCORP INC","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","278860","126924","0","126924","135434","13129","0","0","0","0","13129","3373","0","","0","0","","","11409","89402","55128","55128","0","0","0","0","34274","28931","5343","7500","271360","278859","12500","12748","0","0",""
"9087","10250","991340","1199602","1ST SOURCE BANK","South Bend","IN","46601","12/31/2021","5/18/2022","SM","100 N. Michigan St, # B","1ST SOURCE CORP","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","1863041","1743732","561950","1181782","95702","23009","0","0","0","0","23009","598","0","","0","0","","","351129","659727","645530","645530","0","14197","14197","0","0","0","0","0","1863041","1863041","0","0","24436","0","24873"
"57626","0","3223305","3223293","1ST STATE BANK","Saginaw","MI","48604","12/31/2021","5/18/2022","NM","4800 Fashion Sq. Blvd, # 100","1ST STATE FINANCIAL LTD","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststate.bank","61634","59173","30866","28307","943","1518","0","0","0","0","1518","0","0","","0","0","","","59111","20601","15803","15803","0","4798","4798","0","0","0","0","0","61634","61634","0","0","0","0",""
"8426","10595","526519","1830240","1ST SUMMIT BANK","Johnstown","PA","15904","12/31/2021","5/18/2022","NM","125 Donald Ln.","1ST SUMMIT BCORP JOHNSTOWN INC","17","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.bank","581429","365943","0","365943","198843","13039","0","0","0","0","13039","0","3604","","3604","0","","","271978","350877","350877","350877","0","0","0","0","0","0","0","244902","332923","577825","0","0","0","0","0"
"57869","0","3309393","","1ST TRUST BANK, INC.","Hazard","KY","41701","12/31/2021","5/18/2022","NM","44 Commerce Dr","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","1/28/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","15102","13632","0","13632","1470","0","0","0","0","0","0","0","0","","0","0","","","15102","32","32","32","0","0","0","0","0","0","0","0","15102","15102","5644","5581","0","0",""
"31249","6607","350572","5281989","1ST UNITED BANK","Faribault","MN","55021","12/31/2021","5/18/2022","NM","430 4th St Nw","MIDCOUNTRY ACQUISITION CORP","2","0","0","7","0","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.1stunited.com","103876","102337","0","102337","1539","0","0","0","0","0","0","0","0","","0","0","","","981","22500","10001","10001","0","12499","12499","0","0","0","0","0","103876","103876","0","0","0","0",""
"9751","0","340256","3304352","21ST CENTURY BANK","Loretto","MN","55357","12/31/2021","5/18/2022","NM","699 N. Medina St.","DOLPHIN FAMILY MANAGEMENT CO","8","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","88462","82290","0","82290","6172","0","0","0","0","0","0","0","0","","0","0","","","6169","60751","46634","46634","0","8211","8211","0","5906","0","5906","0","88462","88462","0","0","0","0",""
"16910","0","449430","3438051","22ND STATE BANK","Louisville","AL","36048","12/31/2021","5/18/2022","NM","1920 Main St.","FEB BANCSHARES INC","6","0","0","4","1","Barbour","","","1/1/1917","5/29/1950","11/13/2020","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.22ndstatebank.com","22444","17508","0","17508","2921","2015","0","0","0","0","2015","0","0","","0","0","","","4475","15189","12011","12011","0","1239","1239","0","1939","978","961","0","22444","22444","0","0","0","0",""
"91005","0","455253","4754758","5STAR BANK","Colorado Springs","CO","80914","12/31/2021","5/18/2022","NM","Peterson Air Force Base, 455","LITTLE LONDON BCORP","6","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","17678","0","0","0","9023","8655","0","0","0","0","8655","0","0","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","17678","17679","0","0","0","0","0"
