cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2021","5/18/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","119745","119745","114695","0","34","5016","0","0","","45786","41119","73959","30272","3664","40024","78626","41119","78626","111916","86779","2670","0","0","4477","",""
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","12/31/2021","5/18/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","43405","43405","35705","0","7700","0","0","0","","19170","11890","24235","2741","6550","14944","31515","11890","31515","41218","37925","2282","0","0","0","",""
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2021","5/18/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","280265","280265","239675","0","40573","17","0","0","","130710","67548","149555","585","111698","37271","212717","65697","214568","262386","188692","5699","0","0","0","",""
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2021","5/18/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","510396","510396","479987","0","30409","0","0","0","","338448","338448","171948","68439","73078","30431","171948","254290","256105","498232","314543","3387","0","0","0","",""
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","12/31/2021","5/18/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","913251","913251","901695","0","11556","0","0","0","","546657","478082","366594","197703","157332","11560","435169","478082","435169","908369","376093","4054","0","0","0","",""
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","12/31/2021","5/18/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","612793","612793","376857","0","235443","493","0","0","","82071","28361","530722","42791","360631","127300","584432","95241","517552","572534","301452","12234","4776","658","0","",""
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","12/31/2021","5/18/2022","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","62313","62313","58632","0","3681","0","0","0","","19141","13137","43172","11324","13250","18598","49176","13137","49176","59059","53090","202","0","0","0","",""
"27552","10064","1412619","2784920","1ST CONSTITUTION BANK","Cranbury","NJ","8512","12/31/2021","5/18/2022","NM","2650 Rt. 130","1ST CONSTITUTION BCORP","26","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","11/8/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","1658778","1658778","1441947","0","216831","0","0","0","","175113","113460","1483665","68717","1265633","149315","1545318","515602","1143176","1632406","1222539","32051","0","0","949","",""
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","12/31/2021","5/18/2022","NM","3956 W. Dempster St.","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","5/5/2020","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","104839","104839","92036","0","0","12803","0","0","","30356","12207","74483","20106","5091","49286","92632","12206","92633","99520","84425","4110","0","0","12804","",""
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","12/31/2021","5/18/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","117721","117721","117478","0","0","243","0","0","","54527","18712","63194","12982","28485","21727","99009","18712","99009","116710","101239","6043","0","0","1000","",""
