"ID System: Total Managed Assets held in Fiduciary Accounts	"
"","Title","Variable","Definition"
"1.","Fiduciary Powers Granted","trpower"," Institution has been granted trust powers by a state or national regulatory authority to administer accounts in a fiduciary capacity. Fiduciary capacity generally means: trustee, executor, administrator, registrar of stocks and bonds, transfer agent, guardian, assignee, receiver, custodian under a uniform gifts to minors act, investment advisor, any capacity in which the institution possesses investment discretion on behalf of another, or any similar capacity. Note:;Domestic offices of foreign banks (a.k.a. IBA’s -- as defined by the International Banking Act) report annually, as of December.; ;All institutions that have any fiduciary or related assets file this information annually each December. However, Quarterly data is ONLY available for institutions that have total fiduciary assets greater than $250 million AND gross fiduciary and related service income greater than 10% of the revenue from the preceding calendar year.; "
"2.","Fiduciary Power Exercised","trexer"," Institution or trust company subsidiary of the institution exercises fiduciary powers granted by a state or national regulatory authority to administer accounts in a fiduciary capacity. Fiduciary capacity generally means: trustee, executor, administrator, registrar of stocks and bonds, transfer agent, guardian, assignee, receiver, custodian under a uniform gifts to minors act, investment advisor, any capacity in which the institution possesses investment discretion on behalf of another, or any similar capacity. Note:;Domestic offices of foreign banks (a.k.a. IBA’s -- as defined by the International Banking Act) report annually, as of December.; All institutions that have any fiduciary or related assets file this information annually each December. However, Quarterly data is ONLY available for institutions that have total fiduciary assets greater than $250 million AND gross fiduciary and related service income greater than 10% of the revenue from the preceding calendar year.; "
"3.","Fiduciary Or Related Activity","tract"," Beyond having trust powers granted and exercised, institutions with fiduciary assets accounts, income, or other reportable fiduciary related service. note:;domestic offices of foreign banks (a.k.a. IBA’s -- as defined by the International Banking Act) report annually, as of December.; All institutions that have any fiduciary or related assets file this information annually each December. However, Quarterly data is ONLY available for institutions that have total fiduciary assets greater than $250 million AND gross fiduciary and related service income greater than 10% of the revenue from the preceding calendar year.; "
"4.","Total Managed Assets Held in Fiduciary Accounts","TPIMATOT","Market Value of total managed assets held in fiduciary accountspersonal trust and agency accounts and investment management agency accounts Note:  Reported as a memoranda item in December only"
"5.","Managed Personal Trust&Agency Accnts & investmnt Managemnt Agency Accounts","TPINI"," Market value of total managed assets held in personal trust and agency accounts and investment management agency accounts note: reported as a memoranda item in december only  "
"6.","Interest-Bearing Deposits Managed Personal Trust and Agency Accounts and investm","TPII","Market Value of personal trust and agency accounts and investment management agency accounts Note:  Reported as a memoranda item in December only."
"7.","Us Treasury & Us Government Agency Obligations, Managed Personal Trust&Agency","TPISCUS"," Market value of US Treasury & US government agency obligations in personal trust and agency accounts and investment management agency accounts in total managed assets held in fiduciary accounts note: reported as a memoranda item in december only.  "
"8.","State, County and Municipal Obligations, Managed Personal Trust&Agency Accts,","TPISCMUN","State, county and municipal obligations, managed personal trust and agency accounts and investment management agency accounts Note:  Reported as a memoranda item in December only."
"9.","Money Market Mutual Funds, Managed Personal Trust&Agency Accts, Etc..","TPIMMF","Market value of money market mutual funds - managed personal trust and agency accounts and investment management agency accounts Note:  Reported as a memoranda item in December only."
"10.","Equity Mutual Funds, Managed Personal Trust&Agency Accts, Etc..","TPIEQF"," Market value of equity mutual funds, managed personal trust and agency accounts and investment management agency accounts note: reported as a memoranda item in december only.  "
"11.","Other Mutual Funds, Managed Personal Trust&Agency Accts, Etc..","TPIOTHF"," Market value of other mutual funds, managed personal trust and agency accounts and investment management agency accounts note: reported as a memoranda item in december only.  "
"12.","Common Trust Funds and Collective investment Funds, Managed Personal Trust&Ag","TPITRF","Market value of common trust funds and collective investment funds, managed personal trust and agency accounts and investment management agency accounts Note:  Reported as a memoranda item in December only."
"13.","Other Short-Term Obligations, Managed Personal Trust&Agency Accts, Etc..","TPISTO","Market value of other Short-term obligations, managed personal trust and agency accounts and investment management agency accounts Note:  Reported as a memoranda item in December only."
