"ID System: Find an Institution - Additional Options"
"","Title","Variable","Definition"
"1.","FDIC Certificate# ","incert1","A unique number assigned by the FDIC used to identify institutions and for the issuance of insurance certificates. "
"2.","Institution Name","inname","Name of an institution. The entire name or part (at least 3 characters) of the name of a specific institution may be entered to produce an Institution List of available selections. "
"3.","City","incity","City in which the headquarters are physically located. Either the entire name or part of the name of a specific city may be entered to produce an list of choices."
"4.","County","incounty","The name of the county where the institution is physically located."
"5.","State","instalp","Select from a drop-down box.  State in which the the headquarters are physically located. The FDIC Act defines state as any State of the United States, the District of Columbia, and any territory of the United States, Puerto Rico, Guam, American Samoa, the Trust Territory of the Pacific Islands, the Virgin Island, and the Northern Mariana Islands."
"6.","Zip Code","inzip"," The first five digits of the full postal zip code representing physical location of the institution."
"7.","Institution Status","ininststatus","Based on the demographic information, the selections are: active -- institutions that are currently open and insured by the FDIC, as of the date requested. If the data requested is other then Most Current, the institution may no longer be currently active. Inactive -- As of the Most Current data, institutions that are currently closed but were once insured by the FDIC. Inactive institutions include: - institutions that have merged with other institutions - institutions that have been acquired by other institutions - institutions that are no longer in business All -- Both active and inactive institutions as of the Most Current data. Note: Please use FDIC Bank Find to locate an institution based on a former name. "
"8.","Information as of","period1","The financial information date selected from the drop-down box will generate data for the period ending on that date."
"9.","Sort Institutions","insort","The default sort order of an Institution List is by institution name. If an alternative sort order is desired, select one from the drop-down box."
"10.","Common Searches","inflags","<b>Top 100 Banks and Thrifts</b> - Use this selection to quickly obtain a list of the 100 largest FDIC-insured institutions according to their total assets.  Use most recent or historical reporting dates to identify the impact of mergers and other events. <br> <br><b>Agricultural Banks</b> - An institution with agricultural loans totaling at least 25% of total loans.<br> <br><b>Banks Headquartered in the U.S. with Foreign Offices</b> - Commercial banks that file a FFIEC 031 Call Report as required for those institutions with both domestic and foreign offices.<br><br>  <b>Banks Directly Owned by Another Bank</b> - Beginning in March 1997, both the Thrift Financial Reports and Call Reports are completed on a fully consolidated basis.  Previously, the consolidation of subsidiary depository institutions was prohibited.  Now, parent institutions are required to file consolidated reports, while their subsidiary financial institutions are still required to file separate reports. <br><br> <B>Credit Card Institutions</B> - Institutions with total loans greater than 50% of total assets and credit card loans greater than 50% of total loans, including loans that have been securitized and sold.<br><br><b>FDIC Community Banks </b> are identified based on criteria defined in the <a href='https://www.fdic.gov/regulations/resources/cbi/study.html'> FDIC Community Banking Study</a>. Using detailed balance sheet and geographic data, the study defines community banks primarily in terms of their traditional relationship banking and limited geographic scope of operations.<br><strong>Summary of FDIC Research Definition of Community Banking Organizations</strong><BR>Community banks are designated at the level of the banking. <BR>(All charters under designated holding companies are considered community banking charters.) <BR><strong>Exclude</strong>: Any organization with: <BR>   - No loans or no core deposits <BR>   - Foreign Assets &#8805; 10% of total assets <BR>   - More than 50% of assets in certain specialty banks, including:<dir style='margin-top:0px;'> <li>credit card specialists</li><li>consumer nonbank banks<sup>1</sup></li><li>industrial loan companies </li><li>trust companies</li> <li>bankers' banks </li></dir><p><strong>Include</strong>: All remaining banking organizations with:<BR>   - Total assets < indexed size threshold<sup>2</sup><BR>    - Total assets &#8805; indexed size threshold, where: <dir style='margin-top:0px;'> <li>Loan to assets > 33% </li><li>Core deposits to assets > 50%</li><li>More than 1 office but no more than the indexed maximum number of offices.<sup>3</sup></li><li>Number of large MSAs with offices &#8804; 2 </li><li>Number of states with offices &#8804; 3 </li><li>No single office with deposits > indexed maximum branch deposit size.<sup>4</sup></li> </dir></p><p><sup>1</sup> Consumer nonbank banks are financial institutions with limited charters that can make commercial loans or take deposits, but not both. <BR><sup>2</sup> Asset size threshold indexed to equal $250 million in 1985 and $1 billion in 2010.<BR><sup>3</sup> Maximum number of offices indexed to equal 40 in 1985 and 75 in 2010.<BR><sup>4</sup> Maximum branch deposit size indexed to equal $1.25 billion in 1985 and $5 billion in 2010.</p><br>  <B>Federal Charter</B> - Nationally chartered commercial banks or OTS chartered savings associations<BR> <br> <B>Institutions with Interstate Branches</B> - Institutions that have branches in more than one state that can accept deposits insured by the FDIC.<BR><br>  <B>Mutual (non-stock) Savings Institution</B> - A non-stock institution owned and controlled by its depositors. A mutual does not issue capital stock. All commercial banks issue stock and are not mutuals. <BR><br><b>State Charter</B> - FDIC-insured, state chartered banks that are either members or non-members of the Federal Reserve System<BR> <br>   <B>Stock Held Institution</B> - A stock institution sells stock to raise capital. It is owned by the shareholders who benefit from profits earned by the institution.<BR> <br>    <B>Subchapter S Corporations</B> - The Small Business Job Protection Act of 1996 changed the Internal Revenue Code to allow financial institutions to elect Subchapter S corporation status, beginning in 1997. A Subchapter S corporation is treated as a pass-through entity, similar to a partnership, for federal income tax purposes. It is generally not subject to any federal income taxes at the corporate level. Its taxable income flows through to its shareholders in proportion to their stock ownership, and the shareholders generally pay federal income taxes on their share of this taxable income. <i>This can have the effect of reducing institutions' reported taxes and increasing their after-tax earnings.</i>  The election of Subchapter S status may result in an increase in shareholders' personal tax liability. Therefore, some S corporations may increase the amount of earnings distributed as dividends to compensate for higher personal taxes.<br> <br><b> Trust Powers Granted </b>Institutions that have been granted trust powers by a state or national regulatory authority to administer accounts in a fiduciary capacity. Fiduciary capacity generally means: trustee, executor, administrator, registrar of stocks and bonds, transfer agent, guardian, assignee, receiver, custodian under a uniform gifts to minors act, investment advisor, any capacity in which the institution possesses investment discretion on behalf of another, or any similar capacity.<br> <br><b>Trust or Related Activity </b>Beyond having granted and exercised trust powers, institutions that have fiduciary assets accounts, income, or other reportable fiduciary related service.<br>"
