"ID System: Demographic Information"
"","Title","Variable","Definition"
"1.","Status","status"," An institution is either Active or Inactive during a quarterly report period. active – as of the date, the institution is still conducting business as an FDIC Insured institution. Inactive - As of the date, the institution is no longer in business as an FDIC Insured institution. Inactive institutions can include, but are not limited to: - institutions that have merged with other institutions - institutions that have been acquired by other institutions - institutions that are no longer in business  "
"2.","Bank Holding Company (Regulatory Top Holder)","namehcr"," Note: Information on bank holding companies is only as of quarter-end.Regulatory top holder is any company that    directly or indirectly owns, controls or has power to vote 25 percent or more of a bank's or direct holding company's shares or  controls in any manner the election of a majority of the directors or trustees of a bank or direct holding company or  exercises a controlling influence over the management or policies of a bank or direct holding company.   Information on Thrift Holding Companies that own Savings Associations but do not own banks is not currently available in the ID System.  Source:  Federal Reserve Board National Information Center data base. "
"3.","FDIC Certificate #","cert","FDIC Certificate number - A unique NUMBER assigned by the FDIC used to identify institutions and for the issuance of insurance certificates."
"4.","Institution Name","name","The legal name of the institution. If you are having trouble finding an FDIC-Insured Institution: Type only part of the name.  By typing a part of the name -- for example, type NET instead of NET.B@NK -- you can list all institutions that have  net  anywhere in their name. Then, you can look at the list and select the bank or thrift you are seeking."
"5.","City, State, Zip","citystatezip","City-- City in which an institution's headquarters is physically located. State -- State in which an institution's headquarters is physically located. County -- The name of the county where the institution is physically located. ZIP -- The first five digits of the full postal zip code representing physical location of the institution. "
"6.","Number of Domestic U.S. Offices","offdom","The number of domestic offices (including headquarters) in the 50 states of the U.S.A. operated by active institutions."
"7.","Number of Foreign Offices","offfor","The number of foreign offices  (outside the U.S. and U.S.territories) operated by active FDIC Insured institutions."
"8.","Number of Offices in Insured Other Areas","offoa"," The number of offices operated by an FDIC-Insured institution in all commonwealths and territories of the U.S.A., along with those in freely associated states under the Compact of Free Association. the list includes american samoa, guam, northern mariana islands (cnmi), u.s. virgin islands, puerto rico, republic of the marshall islands (rmi), federal states of micronesia (fsm), and the republic of Palau (ROP).  "
"9.","Interstate Branches","stmult"," A 'yes' indicates that an institution has branches that can accept FDIC-Insured deposits in more than one state. this item is not available (na) for TFR Reporters. The FDIC Act defines state as any State of the United States, the District of Columbia, and any territory of the United States, Puerto Rico, Guam, American Samoa, the Trust Territory of the Pacific Islands, the Virgin Island, and the Northern Mariana Islands. "
"10.","Summary of deposits","sod_desc","An additional publication that provides deposit information collected in June of each year on branches for both commercial banks and savings institutions.  Available information includes:  National Totals, Deposits by Charter Class  National Totals, Deposits by Asset Size  National Totals, Deposits by Consolidated Metropolitan Statistical Area National Totals, Deposits by Metropolitan Statistical Area State Totals, Deposits by County State Totals, Deposits by Charter Class Market Share Summary by State "
"11.","Current List of Total Offices","ListOfOffices","A branch/office is any location, or facility, of a financial institution, including its main office, where deposit accounts are opened, deposits are accepted, checks paid, and loans granted. Some branches include, but are not limited to, brick and mortar locations, detached or attached drive-in facilities, seasonal offices, offices on military bases or government installations, paying/receiving stations or units, nondeposit offices, Internet and PhoneBanking locations where a customer can open accounts, make deposits and borrow money. A branch does not include Automated Teller Machines (ATM), Consumer Credit Offices, Contractual Offices, Customer Bank Communication Terminals (CBCT), Electronic Fund Transfer Units (EFTU), and Loan Production Offices Summary of Deposits information is required for each insured office located in any State, the District of Columbia, the Commonwealth of Puerto Rico or any U.S. territory or possession such as Guam or the U.S. Virgin Islands, without regard to the location of the main office."
