"ID System: Derivatives"
"","Title","Variable","Definition"
"1.","Derivatives","obsdir"," Represents the sum of the following: interest-rate contracts (as defined as the notional value of interest-rate swap, futures, forward and option contracts), foreign-exchange-rate contracts, commodity contracts and equity contracts (defined similarly to interest-rate contracts).  Futures and forward contracts are contracts in which the buyer agrees to purchase and the seller agrees to sell, at a specified future date, a specific quantity of underlying at a specified price or yield. These contracts exist for a variety of underlyings, including traditional agricultural or physical commodities, as well as currencies and interest rates. Futures contracts are standardized and are traded on organized exchanges which set limits on counterparty credit exposure. Forward contracts do not have standardized terms and are traded over the counter.  Option contracts are contracts in which the buyer acquires the right to buy from or sell to another party some specified amount of underlying at a stated price (strike price) during a period or on a specified future date, in return for compensation (such as a fee or premium). The seller is obligated to purchase or sell the underlying at the discretion of the buyer of the contract. Swaps are obligations between two parties to exchange a series of cash flows at periodic intervals (settlement dates) for a specified period. The cash flows of a swap are either fixed or determined for each settlement date by multiplying the quantity of the underlying instrument (notional principal) by specified reference rates or prices. Except for currency swaps, the notional principal is used to calculate each payment but is not exchanged.  This item is not available for TFR Reporters.TFR reports ended December 2011."
"2.","Notional Amount of Credit Derivatives","idctder","Notional amount of credit derivatives on which the institution is either the guarantor or beneficiary.  Credit derivatives are off-balance sheet arrangements that allow one party (the beneficiary) to transfer the credit risk of an asset to another party (the guarantor).RIS definition: IDCTDER = (CTDERGTY + CTDERBEN)"
"3.","Credit Derivatives:Bank Is Guarantor","ctdergty","Notional amount of credit derivatives on which the institution has extended credit protection to another party.  Credit derivatives are off-balance sheet arrangements that allow one party (the beneficiary) to transfer the credit risk of an asset to another party (the guarantor)."
"4.","Credit Derivatives:Bank Is Beneficiary","ctderben","Notional amount of credit derivatives on which the reporting institution has obtained a guarantee against credit losses from other parties.  Credit derivatives are off-balance sheet arrangements that allow one party (the beneficiary) to transfer the credit risk of an asset to another party (the guarantor)."
"5.","Interest Rate Contracts ","rt","Notional amount of all interest rate contracts."
"6.","Notional Value of Interest Rate Swaps","rtnvs","The notional amount of all outstanding interest rate and basis swaps whose predominent characteristic is interest rate risk.  The notional amount is the underlying principal amount upon which the exchange of interest is based."
"7.","Futures and Forward Contracts Interest Rate Contracts","rtffc","Futures and forward interest rate contracts (gross amounts) in which the predominent risk characteristic is interest rate risk.  These contracts represent agreements for delayed delivery of financial instruments or commodities in which the buyer agrees to purchase and the seller agrees to deliver, at a specified future date, a specified instrument or commodity at a specified price or yield.  Futures contracts are standardized and are traded on organized exchanges that act as the counterpart to each contract.  Forward contracts are not traded on organized exchanges and their contractual terms are not standardized."
"8.","Written Option Interest Rate Contracts","rtwoc","Written option interest rate contracts (gross amounts) that the reporting institution has obligated itself to either purchase or sell that are outstanding as of the report date.  It includes both written exchange-traded and written over-the-counter (OTC) interest rate options.  Exchange-traded option contracts obligate the reporting institution to either purchase or sell an interest rate futures contract whose predominant risk characteristic is interest rate risk.  OTC interest rate options include options to purchase and sell interest bearing financial instruments whose predominant risk characteristic is interest rate risk as well as contracts known as caps, floors, collars, corridors, and swaptions. "
"9.","Purchased Option Contracts Interest Rate","rtpoc","The par value of a financial instrument underlying a futures contract whose underlying risk characteristic is interest rate risk.  Also included are contracts known as caps, floors, collars, corridors, and swaps.         "
"10.","Foreign Exchange Rate Contracts","fx","Notional amount of all foreign exchange contracts."
