"ID System: Fiduciary and Related Services"
"","Title","Variable","Definition"
"1.","Fiduciary Powers Granted","trpower"," Institution has been granted trust powers by a state or national regulatory authority to administer accounts in a fiduciary capacity. Fiduciary capacity generally means: trustee, executor, administrator, registrar of stocks and bonds, transfer agent, guardian, assignee, receiver, custodian under a uniform gifts to minors act, investment advisor, any capacity in which the institution possesses investment discretion on behalf of another, or any similar capacity. Note:;Domestic offices of foreign banks (a.k.a. IBA’s -- as defined by the International Banking Act) report annually, as of December.; ;All institutions that have any fiduciary or related assets file this information annually each December. However, Quarterly data is ONLY available for institutions that have total fiduciary assets greater than $250 million AND gross fiduciary and related service income greater than 10% of the revenue from the preceding calendar year.; "
"2.","Fiduciary Power Exercised","trexer"," Institution or trust company subsidiary of the institution exercises fiduciary powers granted by a state or national regulatory authority to administer accounts in a fiduciary capacity. Fiduciary capacity generally means: trustee, executor, administrator, registrar of stocks and bonds, transfer agent, guardian, assignee, receiver, custodian under a uniform gifts to minors act, investment advisor, any capacity in which the institution possesses investment discretion on behalf of another, or any similar capacity. Note:;Domestic offices of foreign banks (a.k.a. IBA’s -- as defined by the International Banking Act) report annually, as of December.; All institutions that have any fiduciary or related assets file this information annually each December. However, Quarterly data is ONLY available for institutions that have total fiduciary assets greater than $250 million AND gross fiduciary and related service income greater than 10% of the revenue from the preceding calendar year.; "
"3.","Fiduciary Or Related Activity","tract"," Beyond having trust powers granted and exercised, institutions with fiduciary assets accounts, income, or other reportable fiduciary related service. note:;domestic offices of foreign banks (a.k.a. IBA’s -- as defined by the International Banking Act) report annually, as of December.; All institutions that have any fiduciary or related assets file this information annually each December. However, Quarterly data is ONLY available for institutions that have total fiduciary assets greater than $250 million AND gross fiduciary and related service income greater than 10% of the revenue from the preceding calendar year.; "
"4.","Number of Fiduciary Accounts and Related Asset Accounts","IDFRANUM"," The total number of Fiduciary Accounts and Related Asset Accounts ris definition: idfranum = ttnanum + ttnmnum  "
"5.","Number of Managed Accounts","TTNANUM","The total number of managed accounts. note: reported quarterly by institutions with total fiduciary assets of greater than $250 million (prior December) or with fiduciary and related services income of greater than 10% of revenue (net interest income plus noninterest income) for the prior calendar year. All others only report in December."
"6.","Number of Non-Managed Accounts","TTNMNUM","The total number of non-managed accounts reported quarterly by institutions with total fiduciary assets greater than $250 million (prior December) or with fiduciary and related services income greater than 10% of revenue (net interest income plus noninterest income) for the prior calendar year."
"7.","Total Fiduciary and Related Assets","IDTFRA"," The sum of managed and non-managed assets reported quarterly by institutions with total fiduciary assets greater than $250 million (prior December) or with fiduciary and related services income greater than 10% of revenue (net interest income plus noninterest income) for the prior calendar year. ris definition: idTFRa = ttma + ttnma  "
"8.","Managed Assets ($)","TTMA","Total managed assets reported quarterly by institutions with total fiduciary assets greater than $250 million (prior December) or with fiduciary and related services income greater than 10% of revenue (net interest income plus noninterest income) for the prior calendar year."
"9.","Non-Managed Assets ($)","TTNMA","Total non-managed reported quarterly by institutions with total fiduciary assets greater than $250 million (prior December) or with fiduciary and related services income greater than 10% of revenue (net interest income plus noninterest income) for the prior calendar year."
"10.","Gross Fiduciary Activities  Income","IFIDUC"," Income from services rendered by the institution's trust department or by any of its consolidated subsidiaries acting in any fiduciary capacity.   This item is not available for TFR Reporters.TFR reports ended December 2011."
