"ID System: Loan Charge-Offs and Recoveries"
"","Title","Variable","Definition"
"1.","Total Charge-offs","drlnls","The total amount of charged-off loans and lease financing receivables debited to the allowance for loan and lease losses established by the institution."
"2.","Charge-offs:Loans Secured By Real Estate, Total","drre","The total amount of charged-off loans secured by real estate debited to the allowance for loan and lease losses established by the institution."
"3.","Charged-offs:Real Easte Non-U.S. Addressees","drrenus","The total amount of charged-off loans secured by real estate (whose addresses are not within the U.S.) debited to the allowance for loan and lease losses established by the institution. This information is not available on a quarterly basis."
"4.","Real Estate Loans in Domestic Offices - charged-off","iddrredm","The total amount of charged-off loans secured by real estate and held in domestic offices of the institution. RIS definitions:   YTD -IDDRREDM = SUM(DRRECONS, DRREAG, DRRERES, DRREMULT, DRRENRES)  QTR - IDDRREDQ = sum(drreconq,drreagq,drreresq,drremulq,drrenrsq)"
"5.","Charge-offs:Construction and Land Development Real Estate","drrecons","Total real estate loans (which are held in domestic offices) for construction and land development purposes that have charged-off and debited to the allowance for loan and lease losses established by the institution."
"6.","1-4 Family Residential Construction Loan Charge offs","DRRECNFM","Charged off 1-4 family residential construction loans. (Data available as of March 2007)"
"7.","Other Construction Loans and All Land Development and Other Land Loan Charge off","DRRECNOT","Charged off other construction loans and all land development and other land loans. (Data available as of March 2007)"
"8.","Charge-offs:Secured By Farmland","drreag"," Total loans secured by farmland (which are held in domestic offices) that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"9.","Charge-offs Secured By 1-4 Family Residential Properties","drreres","Total loans secured by 1-4 family residential properties (which are held in domestic offices) that have been charged-off and debited to the allowance for loan and lease losses established by the institution."
"10.","Charge offs:Secured By Multifamily Residential Properties","drremult","Total multifamily (5 or more) residential properties (which are held in domestic offices) that have been charged-off and debited to the allowance for loan and lease losses established by the institution."
"11.","Charged-offs:Secured By Nonfarm Nonresidential Properties","drrenres","Total nonfarm nonresidential properties (which are held in domestic offices) that have been charged-off and debited to the allowance for loan and lease losses established by the institution."
"12.","Secured By Owner-Occupied Nonfarm Nonresidential Properties - Charge offs","DRRENROW","Charged off loans secured by owner-occupied nonfarm nonresidential properties. Data available as of March 2007.This item was not available for TFR Reporters."
"13.","Secured By Other Nonfarm Nonresidential Properties - Charge offs","DRRENROT","Charged off loans secured by other nonfarm nonresidential properties. Data available as of March 2007.This item was not available for TFR Reporters."
"14.","Charge-offs:Real Estate Loans in Foreign Offices","drrefor","The total amount of charged-off loans secured by real estate and held in foreign offices of the institution."
"15.","Charge-offs:Loans To Depository Institutions","drdep"," Total loans to depository institutions and acceptances of other banks that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"16.","Charge-offs:Loans To Depository Institutions Foreign","drdepnus","Total loans to foreign depository institutions and acceptances of other banks that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This information is not available on a quarterly basis."
"17.","Charge-offs:Loans To Finance Agricultural Production and Other Loans To Farmers","drag"," Total loans to finance agricultural production and other loans to farmers that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"18.","Charge-offs:Commercial and Industrial Loans","drci","Total commercial and industrial loans that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  Note: For banks with assets of less than $300 million, this item includes all other loans (loans to depository institutions, agricultural loans, etc.)."
"19.","Charge-offs:Loans To Individuals","drcon","Total loans to Individuals for household, family, and other personal expenditures that have been charged-off and debited to the allowance for loan and lease losses established by the institution."
"20.","Charge-offs:Credit Card Loan Charge offs","drcrcd"," Total credit cards and related plans to Individuals for household, family, and other personal expenditures that have been charged-off and debited to the allowance for loan and lease losses established by the institution. note: 1) prior to March 2001, included charge-offs of related revolving credit plans other than credit cards.  "
"21.","Charge-offs:Auto Loans ","DRAUTO","Charged-off loans to Individuals for household, family, and other personal expenditures:  Automobile loans debited to the allowance for loan and lease losses. Quarterly variable: DRAUTOQ "
"22.","Charge-offs:Other Consumer Loan ","DRCONOTH","Charged-off loans to Individuals for household, family, and other personal expenditures: all other loans debited to the allowance for loan and lease losses.  Note: Prior to March  2011, excludes automobile loans.  Beginning March 2001, includes revolving creditplans other than credit cards. Quarterly Variable: DRCONOTQ"
"23.","Charge-offs:Loans To Foreign Governments and Official Institutions","drforgv"," Total loans to foreign governments and official institutions that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"24.","Charge-offs:Other Loans","drother"," All other loans that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"25.","Charge-offs:Lease Financing Receivables","drls"," Total lease financing receivables that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"26.","Charge-offs:Loans To Finance Agricultural and Other Loans To Farmers Bks <$300M","dragsm"," Total loans to finance agricultural production and other loans to farmers that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is reported only by institutions with assets of $300 million or less.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"27.","Total Recoveries","crlnls","The total amount of recoveries of loans and lease financing receivables credited to the allowance for loan and lease losses established by the institution."
"28.","Recoveries:Loans Secured By Real Estate, Total","crre","The total amount of recoveries of loans secured by real estate credited to the allowance for loan and lease losses established by the institution."
"29.","Recoveries:Loans To Non-U.S. Addressees","crrenus","The total amount of recoveries of loans secured by real estate (whose addresses are not within the U.S.) credited to the allowance for loan and lease losses established by the institution.  This information is not available on a quarterly basis."
"30.","Recoveries:Real Estate Loans in Domestic Offices","idcrredm","The total amount of recoveries of loans secured by real estate and held in domestic offices of the institution.RIS definition:YR - IDCRREDM = SUM(CRRECONS, CRREAG, CRRERES, CRREMULT, CRRENRES) QTR - IDCRREDQ = SUM(CRRECONQ, CRREAGQ, CRRERESQ, CRREMULQ, CRRENRSQ)"
"31.","Recoveries:Loans Construction and Land Development","crrecons","Total recoveries of real estate loans (which are held in domestic offices) for construction and land development purposes that have been credited to the allowance for loan and lease losses established by the institution."
"32.","Recoveries:1-4 Family Residential Construction Loan ","CRRECNFM","Recovered 1-4 family residential construction loans (data available as of March 2007)"
"33.","Recoveries:Other Construction Loans and All Land Development and Other Land Loan","CRRECNOT","Recovered other construction loans and all land development and other land loans. (Data available as of March 2007)"
"34.","Recoveries:Loans Secured By Farmland","crreag","Total recoveries of loans secured by farmland (which are held in domestic offices) that have been charged-off and credited to the allowance for loan and lease losses established by the institution."
"35.","Recoveries:Secured By 1-4 Family Residential Properties","crreres","Total recoveries of loans secured by 1-4 family residential properties (which are held in domestic offices) that have been credited to the allowance for loan and lease losses established by the institution."
"36.","Recoveries:Secured By Multifamily Residential Properties","crremult","Total recoveries of multifamily (5 or more) residential properties (which are held in domestic offices) that have been credited to the allowance for loan and lease losses established by the institution."
"37.","Recoveries:Secured By Nonfarm Nonresidential Properties","crrenres","Total recoveries of nonfarm nonresidential properties (which are held in domestic offices) that have been credited to the allowance for loan and lease losses established by the institution."
"38.","Recoveries:Secured By Owner-Occupied Nonfarm Nonresidential Property ","CRRENROW","Recovered loans secured by owner-occupied nonfarm nonresidential properties. Data available as of March 2007. This item was not available for TFR Reporters."
"39.","Recoveries:Secured By Other Nonfarm Nonresidential Property","CRRENROT","Recovered loans secured by other nonfarm nonresidential properties. Data available as of March 2007. This item was not available for TFR Reporters."
"40.","Recoveries:Real Estate Loans in Foreign Offices","crrefor","The total amount of charged-off loans secured by real estate and held in foreign offices of the institution."
"41.","Recoveries: Loans To Depository Institutions","crdep"," Total recoveries of loans to depository institutions and acceptances of other banks that have been credited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"42.","Recoveries: Loans To Foreign Banks","crdepnus","Total recoveries of loans to foreign depository institutions and acceptances of other banks that have been credited to the allowance for loan and lease losses established by the institution.  This information is not available on a quarterly basis."
"43.","Recoveries:Loans To Finance Agricultural Production and Other Loans To Farmers","crag"," Total recoveries of loans to finance agricultural production and other loans to farmers that have been credited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"44.","Recoveries:Commercial and Industrial Loans","crci","Total recoveries of commercial and industrial loans that have been credited to the allowance for loan and lease losses established by the institution.  Note: For banks with assets of less than $300 million, this item includes all other loans (loans to depository institutions, agricultural loans, etc.)."
"45.","Recoveries:Loans To Individuals","crcon","Total recoveries of loans to Individuals for household, family, and other personal expenditures that have been credited to the allowance for loan and lease losses established by the institution."
"46.","Recoveries:Credit Card Loan ","crcrcd"," Total recoveries of credit cards and related plans to Individuals for household, family, and other personal expenditures that have been credited to the allowance for loan and lease losses established by the institution. note: 1) prior to March 2001, included recoveries of related revolving credit plans other than credit cards.  "
"47.","Recoveries:Auto Loans ","CRAUTO","Recoveries of loans to Individuals for household, family and other personal expenditures:automobile loans credited to the allowance for loan and lease losses. Quarterly Variable: CRAUTOQ "
"48.","Recoveries:Other Consumer Loan ","CRCONOTH","Recoveries of loans to Individuals for household, family, and other personal expenditures: all other loans credited to the allowance for loan and lease losses.  Note: Beginning March 2011, excludes automobile loans. Beginning March 2001, includes recoveries of revolving credit plans other than credit cards. Quarterly Variable: CRCONOTQ"
"49.","Recoveries:Loans To Foreign Governments and Official Institutions","crforgv"," Total recoveries of loans to foreign governments and official institutions that have been credited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"50.","Recoveries:Other Loans","crother"," Recoveries of all other loans that have been credited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
