"ID System: Securities"
"","Title","Variable","Definition"
"1.","Total Securities","sc"," Total securities: the sum of held-to-maturity securities at amortized cost, available-for-sale debt securities at fair value and equity securities with readily determinable fair values not held for trading on a consolidated basis. prior to december 2020, defined as the sum of held-to-maturity securities at amortized cost, available-for-sale securities at fair value and equity securities with readily determinable fair values not held for trading on a consolidated basis. As of March 2019, for institutions that have adopted CECL Methodology (ASU 2016-13) securities are reported net of allowances for credit losses. The full implementation of FASB 115 became effective as of January 1, 1994. Beginning on that date, a portion of banks' securities portfolios are reported based upon fair (market) values;previously, all securities not held in trading accounts were reported at either amortized cost or the lower of cost or market. A negative total securities amount indicates a TFR Reporter with assets held in trading accounts that exceed total securities. "
"2.","U.S. Government Securities","scus"," Total US Treasury securities plus US Government agency and corporation obligations. Beginning January 1, 1994, this item consists of both securities designated as held-to-maturity, reported at amortized cost, and securities designated as available-for-sale, reported at fair market value. Includes US government issued or guaranteed mortgage-backed securities.  Includes securities held in trading accounts for TFR Reporters. "
"3.","U.S. Treasury Securities","scust"," Total U.S. Treasury securities held-to-maturity at amortized cost and available-for-sale at fair value not held in trading accounts.  This item is not reported by TFR Reporters. "
"4.","U.S. Government Agency Obligations","scage"," The amortized cost and fair value of all U.S. Government agency obligations not held for trading. Excludes commercial mortgage-backed securities as of June 2009. for TFR reporters, this includes the aforementioned securities held in trading accounts, u.s. treasury securities, and mortgage derivatives securities. "
"5.","Securities Issued By States & Political Subdivisions","scmuni"," The amortized cost and fair value of all securities issued by states and political subdivisions in the U.S. not held for trading.  Includes securities held in trading accounts for TFR Reporters. "
"6.","Other Domestic Debt Securities","SCDOMO"," Total other domestic debt securities.  For TFR Reporters, this item includes securities held in trading accounts but excludes privately-issued collateralized mortgage obligations (including REMICs).  Institutions with less than $100 million in total assets include 'foreign debt securities' in 'other domestic debt securities'.  Includes securities held in trading accounts for TFR reporters. "
"7.","Privately Issued Residential Mortgage-Backed Securities","idscod","Mortgage-backed pass-through securities and mortgage-backed securities (CMOs) and (REMICs) - privately-issued and collateralized by MBS issued or guaranteed by FNMA, FHLMC, or GNMA and all other privately-issued held-to-maturity at amortized cost and available-for-sale at fair value on a consolidated basis   Note:  1) Prior to June 2009, this item included commercial mortgage pass-through securities and commercial mortgage-backed securities  2) Includes the aforementioned securities held in trading accounts for TFR filers RIS definition: IDSCOD = SUM(SCODPC, SCODPI)"
"8.","Commercial Mortgage-Backed Securities - Other","IDsccmmb"," Other commercial mortgage-backed securities on a consolidated basis. Commercial mortgage-backed securities not included in U.S. government obligations. note: data begins in June 2009. This item is not available for TFR Reporters.TFR reports ended December 2011.The last TFR report was filed December 2011. RIS Definition: Starting March 2011: IDSCCMMB= SUM (SCCMMB,-SCCPTG,-SCCMOG). Else IDSCCMMB = SCCMMB. "
"9.","Asset Backed Securities","scabs"," The amortized cost of held-to-maturity and the fair value of available-for-sale for all asset-backed securities (other than mortgage-backed securities), including asset-backed commercial paper, not held for trading. Prior to 2001, asset backed securities are included in �Other domestic debt securities� for those institutions that file a FFIEC Call Report.     This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"10.","Structured Financial Products - Total","scsfp","Total structured financial products (cash, synthetic and hybrid) on a consolidated basis  Note:  Data begins in June 2009"
