"ID System: Small Business Loans"
"","Title","Variable","Definition"
"1.","$ Amt. Loans Sec. By Nonfarm Nonres. Props. - Orig. Amts. of $1M Or Less","Lnrenr4"," Amount of currently outstanding loans secured by nonfarm nonresidential properties with original amounts less than $1,000,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of the aforementioned loans with original amounts of less than $100,000, it was assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"2.","$ Amt. Loans Sec. By Nonfarm Nonres. Props. - Orig. Amts. of $100K Or Less","Lnrenr1"," Amount of currently outstanding loans secured by nonfarm nonresidential properties with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of the aforementioned loans with original amounts of less than $100,000, it was assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"3.","$ Amt. Loans Sec. By Nonfarm Nonres. Props. - Orig. Amts. $100K- $250K","Lnrenr2"," Amount of currently outstanding loans secured by nonfarm nonresidential properties with original amounts of more than $100,000 through $250,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"4.","$ Amt. Loans Sec. By Nonfarm Nonres. Props. - Orig. Amts. $250K - $1M","Lnrenr3"," Amount of currently outstanding loans secured by nonfarm nonresidential properties with original amounts between $250,000 and $1,000,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"5.","$ Amt. C&I Loans To U.S. Addressees - Orig. Amts.  of $1M Or Less","Lnci4"," Amount of currently outstanding commercial and industrial loans less than $1,000,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of aforementioned loans with original amounts of less than $100,000, it is assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"6.","$ Amt. C&I Loans To U.S. Addressees - Orig. Amts. of $100K Or Less","Lnci1"," Amount of currently outstanding commercial and industrial loans with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of aforementioned loans with original amounts of less than $100,000, it is assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"7.","$ Amt. C&I Loans To U.S. Addressees - Orig. Amts. $100K - $250K","Lnci2"," Amount of currently outstanding commercial and industrial loans with original amounts between $100,000 and $250,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"8.","$ Amt. C&I Loans To U.S. Addressees - Orig. Amts. $250K - $1M","Lnci3"," Amount of currently outstanding commercial and industrial loans with original amounts $250,000 and $1,000,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"9.","$ Amt. Loans Sec. By Farmland  -  Orig. Amts. of $500K Or Less","Lnreag4"," Amount of currently outstanding loans secured by farmland (including farm residential and other improvements) with original amounts less than $500,000 held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of the aforementioned loans with original amounts of less than $100,000, it was assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
"10.","$ Amt. Loans Sec. By Farmland  -  Orig. Amts. of $100K Or Less","Lnreag1"," Amount of currently outstanding loans secured by farmland (including farm residential and other improvements) with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $500,000 (large institutions might have these types of loans but not within this size range) (2) For institutions filing only the total number of the aforementioned loans with original amounts of less than $100,000, it was assumed that the total amount of these loans have original amounts of less than $100,000 (3) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.  "
