"ID System: Total Deposits"
"","Title","Variable","Definition"
"1.","Total Deposits","dep","The sum of all deposits including demand deposits, money market deposits, other savings deposits, time deposits and deposits in foreign offices."
"2.","Deposits Held in Domestic Offices","depdom","The sum of all domestic office deposits, including demand deposits, money market deposits, other savings deposits and time deposits."
"3.","Individuals, Partnerships, and Corporations","idtrni"," Total transaction and nontransaction accounts of Individuals, partnerships and corporations (including all certified and official checks) held in both domestic and foreign offices. prior to 2004, This item is not available for TFR Reporters. TFR Reports ended in December 2011. with assets less than $300 million and risk-based capital ratios in excess of 12 percent. RIS definition = IDTRNI = (TRNIPCOC + NTRIPC) "
"4.","U.S. Government","idtrngov","Total transaction and nontransaction accounts of federal public funds made by or for the account of the U.S. government which are held in domestic offices.  It includes U.S. Treasury tax and loan accounts, standing deposits to the credit of certain quasi-governmental institutions and deposits of the U.S. Postal Service and local post offices. RIS definition = IDTRNGOV = (TRNUSGOV + NTRUSGOV)"
"5.","States and Political Subdivisions in The U.S.","idtrnmu","Total transaction and nontransaction accounts of states, counties, municipalities, and local housing authorities (or political subdivisions) held in domestic offices.  Included are deposits of funds advanced to states and political subdivisions by the U.S. government and corporations, and deposits of withheld income taxes of states and political subdivisions.  RIS definition: IDTRNMU = (TRNMUNI + NTRMUNI)"
"6.","Commercial Banks and Other Depository Institutions in U.S.","idtrcomb","Total transaction and nontransaction accounts of commercial banks and other depository institutions that held in both domestic and foreign offices. RIS definition: IDTRCOMB = (TRNCBO + NTRCOMOT)"
"7.","Total transaction and nontransaction accounts of Banks in Foreign Countries","idtrnfc","Total transaction and nontransaction accounts of banks in foreign countries held in both domestic and foreign offices.  It also includes IBFs established by U.S. branches and agencies of foreign banks.  This item is not reported by institutions with less than $100 million in total assets. RIS definition: IDTRNFC = (TRNFC + NTRFC)"
"8.","Foreign Governments and Official Institutions","idtrnfg","Total transaction and nontransaction accounts of foreign governments and official institutions (includes foreign central banks) held in both domestic and foreign offices.  This item is not reported by institutions with less than $100 million in total assets.  RIS definition: IDTRNFG = (TRNFG + NTRFG)"
"9.","Deposits Held in Foreign Offices","depfor"," The sum of all foreign office deposits, including demand deposits, money market deposits, other savings deposits and time deposits. This item is not available for TFR Reporters.TFR reports ended December 2011."
"10.","Deposits Held in Domestic Offices","depdom","The sum of all domestic office deposits, including demand deposits, money market deposits, other savings deposits and time deposits."
