CUSIP,SERIES,TRADED,ISSUED,MATURITY,TYPE,FIRSTCPN,F,PCR,CCR,R,S,CALL,ORIGINAL,REOPENED,OUTSTANDING,PRICE,COUPON,MINDENOM,MULTIPLES,DAYCNT,PAGENT,V,FORMULA
3130A9ZX2,8G-2023,2016-11-09,2016-11-10,2023-03-30,Domestic Bond,2017-03-30,S,USD,USD,F,C,Non,30900000.0,0.0,30900000.0,100.0,1.67,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.67
3130AA3B2,8I-2023,2016-11-10,2016-11-15,2023-09-29,Domestic Bond,2017-03-29,S,USD,USD,F,C,Non,13015000.0,0.0,13015000.0,100.0,1.91,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.91
3130A9W23,XU-2024,2016-10-26,2016-11-21,2024-11-21,Domestic Bond,2017-05-21,S,USD,USD,F,C,OPR,15000000.0,0.0,15000000.0,101.835,2.25,100000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.25
3130AA5E4,K3-2022,2016-11-16,2016-11-29,2022-11-29,Domestic Bond,2017-05-29,S,USD,USD,F,C,OPR,135000000.0,0.0,35000000.0,100.0,2.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.0
3130AAAG3,PK-2026,2016-11-21,2016-11-23,2026-12-11,Domestic Bond,2017-06-11,S,USD,USD,F,C,Non,30000000.0,30000000.0,60000000.0,99.46399,2.625,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.625
3130AADZ8,8S-2023,2016-12-05,2016-12-06,2023-12-01,Domestic Bond,2017-06-01,S,USD,USD,F,C,Non,6650000.0,0.0,6650000.0,100.0,2.21,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.21
3130AAFZ6,8V-2023,2016-12-12,2016-12-14,2023-11-01,Domestic Bond,2017-05-01,S,USD,USD,F,C,Non,5040000.0,0.0,5040000.0,100.0,2.28,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.28
3130AAGH5,M2-2022,2016-12-13,2016-12-16,2022-12-16,Domestic Bond,2017-06-16,S,USD,USD,F,C,Non,15000000.0,0.0,15000000.0,100.0,2.2,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.2
3130AAGU6,PW-2026,2016-12-14,2016-12-16,2026-12-11,Domestic Bond,2017-06-11,S,USD,USD,F,C,Non,15000000.0,21200000.0,36200000.0,98.500312,2.75,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.75
3130AAHE1,8Y-2023,2016-12-16,2016-12-20,2023-12-08,Domestic Bond,2017-06-08,S,USD,USD,F,C,Non,12500000.0,559700000.0,572200000.0,100.389523,2.5,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.5
3130AAJM1,PY-2026,2016-12-28,2016-12-30,2026-12-11,Domestic Bond,2017-06-11,S,USD,USD,F,C,Non,5500000.0,60000000.0,65500000.0,101.531414,3.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.0
3130AAMB1,9B-2023,2017-01-11,2017-01-12,2023-11-30,Domestic Bond,2017-05-30,S,USD,USD,F,C,Non,18150000.0,0.0,18150000.0,100.0,2.265,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.265
3130AAMM7,GC-2031,2017-01-12,2017-01-17,2031-12-12,Domestic Bond,2017-06-12,S,USD,USD,F,C,Non,3000000.0,2000000.0,5000000.0,98.696793,3.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.0
3130AAQ50,S-2034,2017-01-23,2017-01-25,2034-12-08,Domestic Bond,2017-06-08,S,USD,USD,F,C,Non,4000000.0,4600000.0,8600000.0,98.842505,3.25,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.25
3130AB5Q5,U9-2022,2017-04-06,2017-04-13,2022-11-01,Domestic Bond,2017-11-01,S,USD,USD,F,C,Non,101460000.0,0.0,101460000.0,100.0,2.05,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.05
3130ABAX4,V8-2022,2017-04-24,2017-05-17,2022-11-17,Domestic Bond,2017-11-17,S,USD,USD,F,C,OPR,25000000.0,0.0,25000000.0,100.0,2.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.0
3130AAZ92,XH-2027,2017-03-16,2017-03-20,2027-03-12,Domestic Bond,2017-09-12,S,USD,USD,F,C,Non,9000000.0,19500000.0,28500000.0,98.984099,2.875,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.875
3130AB3H7,YZ-2024,2017-03-29,2017-04-03,2024-03-08,Domestic Bond,2017-09-08,S,USD,USD,F,C,Non,19760000.0,328930000.0,348690000.0,100.432066,2.375,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.375
3130AB3Y0,U3-2022,2017-03-30,2017-04-26,2022-10-26,Domestic Bond,2017-10-26,S,USD,USD,F,C,OPR,10000000.0,0.0,10000000.0,100.0,2.1,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.1
