CUSIP,CALLTYPE,STARTDT,ENDDT,NEXTCALL,DATE,F,SIMPNDX,FORMULA
3130A5G52,OPR,2018-05-25,2018-05-25,2018-05-25,ONCE,B,0,
3130A9UE9,OPR,2018-11-16,2018-11-16,2018-11-16,ONCE,B,0,
3130A9UL3,OPR,2017-11-17,2017-11-17,2017-11-17,ONCE,B,0,
3130A9W23,OPR,2018-11-21,2018-11-21,2018-11-21,ONCE,B,0,
3130AA5E4,OPR,2017-11-29,2017-11-29,2017-11-29,ONCE,B,0,
3130AB3Y0,OPR,2019-04-26,2019-04-26,2019-04-26,ONCE,B,0,
3130ABAX4,OPR,2019-05-17,2019-05-17,2019-05-17,ONCE,B,0,
3130ACLM4,OPR,2018-01-25,2018-04-25,2018-04-25,FLEX,Q,0,
3130ACRK2,OPR,2018-11-28,2018-11-28,2018-11-28,ONCE,B,0,
3130ACUP7,OPR,2022-11-29,2032-11-29,2022-11-29,CONT,D,0,
3130ACXR0,OPR,2018-11-30,2018-11-30,2018-11-30,ONCE,B,0,
3130AD6L1,OPR,2022-12-27,2032-12-27,2022-12-27,FLEX,Q,0,
3130ADBK7,OPR,2023-01-24,2033-01-24,2023-01-24,CONT,D,0,
3130ADGP1,OPR,2023-01-26,2033-01-26,2023-01-26,FLEX,Q,0,
3130AE4J6,OPR,2023-04-27,2028-04-27,2023-04-27,CONT,D,0,
3130AE4K3,OPR,2023-04-27,2033-04-27,2023-04-27,CONT,D,0,
3130AE5C0,OPR,2023-04-27,2038-04-27,2023-04-27,CONT,D,0,
3130AE5L0,OPR,2023-04-26,2028-04-26,2023-04-26,CONT,D,0,
3130AE5M8,OPR,2023-04-26,2033-04-26,2023-04-26,CONT,D,0,
3130AECR9,OPR,2023-05-25,2033-05-25,2023-05-25,CONT,D,0,
3130AEDL1,OPR,2023-06-01,2038-06-01,2023-06-01,FLEX,Q,0,
3130AEDV9,OPR,2023-06-01,2038-06-01,2023-06-01,FLEX,Q,0,
3130AEDX5,OPR,2023-06-06,2033-06-06,2023-06-06,CONT,D,0,
3130AEF88,OPR,2023-06-15,2033-06-15,2023-06-15,CONT,D,0,
3130AEH78,OPR,2023-06-28,2033-06-28,2023-06-28,CONT,D,0,
3130AEJQ4,OPR,2023-07-11,2033-07-11,2023-07-11,CONT,D,0,
3130AEPQ7,OPR,2023-08-08,2033-08-08,2023-08-08,CONT,D,0,
3130AEY46,OPR,2023-09-28,2033-09-28,2023-09-28,CONT,D,0,
3130AEYE4,OPR,2023-09-27,2035-09-27,2023-09-27,CONT,D,0,
3130AF4W4,OPR,2023-10-24,2033-10-24,2023-10-24,CONT,D,0,
3130AF4X2,OPR,2023-10-19,2038-10-19,2023-10-19,CONT,D,0,
3130AFAT4,OPR,2023-11-02,2033-11-02,2023-11-02,CONT,D,0,
3130AFAU1,OPR,2023-11-02,2038-11-02,2023-11-02,CONT,D,0,
3130AFCB1,OPR,2023-11-14,2033-11-14,2023-11-14,CONT,D,0,
3130AFCC9,OPR,2023-11-09,2038-11-09,2023-11-09,CONT,D,0,
3130AFG27,OPR,2023-11-29,2038-11-29,2023-11-29,CONT,D,0,
3130AFG92,OPR,2023-11-27,2028-11-27,2023-11-27,CONT,D,0,
3130AFGQ4,OPR,2023-11-28,2033-11-28,2023-11-28,FLEX,Q,0,
3130AFGX9,OPR,2023-12-04,2028-12-04,2023-12-04,CONT,D,0,
3130AFLC9,OPR,2022-12-21,2033-12-21,2022-12-21,FLEX,Q,0,
3130AFM20,OPR,2023-12-28,2038-12-28,2023-12-28,CONT,D,0,
3130AFVY0,OPR,2024-02-20,2029-02-20,2024-02-20,CONT,D,0,
3130AG3T0,OPR,2022-03-28,2029-03-28,2022-03-28,CONT,D,0,
3130AGBD6,OPR,2022-04-18,2029-04-18,2022-04-18,CONT,D,0,
3130AGE76,OPR,2022-05-09,2029-05-09,2022-05-09,CONT,D,0,
3130AGGM1,OPR,2022-05-24,2028-05-24,2022-05-24,CONT,D,0,
3130AGK38,OPR,2022-06-06,2034-06-06,2022-06-06,CONT,D,0,
3130AGME2,OPR,2022-06-27,2029-06-27,2022-06-27,CONT,D,0,
3130AGMT9,OPR,2022-06-24,2026-06-24,2022-06-24,CONT,D,0,
3130AGR98,OPR,2022-07-18,2029-07-18,2022-07-18,CONT,D,0,
3130AGT21,OPR,2022-07-26,2029-07-26,2022-07-26,CONT,D,0,
3130AGU78,OPR,2022-08-09,2029-08-09,2022-08-09,CONT,D,0,
3130AGUS2,OPR,2024-08-13,2029-08-13,2024-08-13,CONT,D,0,
3130AGVG7,OPR,2022-08-15,2029-08-15,2022-11-15,FLEX,Q,0,
3130AGX26,OPR,2022-08-23,2029-08-23,2022-11-23,FLEX,Q,0,
3130AGXZ3,OPR,2022-09-06,2029-09-06,2022-09-06,CONT,D,0,
3130AH2X0,OPR,2022-09-19,2029-09-19,2022-09-19,CONT,D,0,
3130AH3J0,OPR,2022-09-19,2034-09-19,2022-09-19,CONT,D,0,
3130AH3P6,OPR,2022-09-23,2026-09-23,2022-09-23,CONT,D,0,
3130AH3Z4,OPR,2024-09-24,2029-09-24,2024-09-24,CONT,D,0,
3130AH4L4,OPR,2022-09-26,2034-09-26,2022-09-26,CONT,D,0,
3130AH4Z3,OPR,2022-09-26,2029-09-26,2022-09-26,CONT,D,0,
3130AH6D0,OPR,2024-10-02,2034-10-02,2024-10-02,CONT,D,0,
3130AH6Y4,OPR,2023-09-27,2029-09-27,2023-09-27,FLEX,Q,0,
3130AHBH5,OPR,2022-10-17,2029-10-17,2022-10-17,CONT,D,0,
3130AHCK7,OPR,2021-10-25,2039-10-25,2021-10-25,CONT,D,0,
3130AHCX9,OPR,2022-10-18,2029-10-18,2022-10-18,CONT,D,0,
3130AHEC3,OPR,2022-10-24,2029-10-24,2022-10-24,CONT,D,0,
3130AHEU3,OPR,2022-11-01,2029-11-01,2022-11-01,CONT,D,0,
3130AHHB2,OPR,2022-11-08,2027-11-08,2022-11-08,CONT,D,0,
3130AHHC0,OPR,2024-11-06,2029-11-06,2024-11-06,CONT,D,0,
3130AHHU0,OPR,2022-11-07,2029-11-07,2022-11-07,CONT,D,0,
3130AHL27,OPR,2022-11-21,2029-11-21,2022-11-21,CONT,D,0,
3130AHL76,OPR,2022-11-25,2026-11-25,2022-11-25,CONT,D,0,
3130AHLY7,OPR,2024-11-27,2034-11-27,2024-11-27,CONT,D,0,
3130AHNR0,OPR,2022-12-16,2026-12-16,2022-12-16,CONT,D,0,
3130AHSJ3,OPR,2022-12-23,2026-12-23,2022-12-23,CONT,D,0,
3130AHVG5,OPR,2023-01-17,2030-01-17,2023-01-17,CONT,D,0,
3130AHX32,OPR,2022-01-27,2027-01-27,2022-01-27,CONT,D,0,
3130AHX40,OPR,2022-01-28,2030-01-28,2022-01-28,CONT,D,0,
3130AHY49,OPR,2023-01-27,2027-01-27,2023-01-27,CONT,D,0,
3130AHY64,OPR,2022-01-28,2030-01-28,2022-01-28,CONT,D,0,
3130AHY72,OPR,2023-01-30,2030-01-30,2023-01-30,CONT,D,0,
3130AHYJ6,OPR,2023-01-30,2030-01-30,2023-01-30,CONT,D,0,
3130AHYX5,OPR,2022-02-07,2035-02-07,2022-02-07,CONT,D,0,
3130AHZA4,OPR,2022-02-07,2035-02-07,2022-02-07,CONT,D,0,
3130AJ2C2,OPR,2022-02-03,2025-02-03,2022-11-03,FLEX,Q,0,
3130AJ2Q1,OPR,2022-02-14,2025-02-14,2022-02-14,CONT,D,0,
3130AJ3V9,OPR,2023-02-10,2027-02-10,2023-02-10,CONT,D,0,
3130AJ3Y3,OPR,2022-02-11,2030-02-11,2022-02-11,CONT,D,0,
3130AJ4U0,OPR,2023-02-13,2035-02-13,2023-02-13,FLEX,Q,0,
3130AJ5P0,OPR,2023-02-21,2035-02-21,2023-02-21,CONT,D,0,
3130AJ7J2,OPR,2023-03-02,2027-03-02,2023-03-02,CONT,D,0,
3130AJ7L7,OPR,2022-02-28,2030-02-28,2022-02-28,CONT,D,0,
3130AJAC3,OPR,2022-02-28,2035-02-28,2022-02-28,CONT,D,0,
3130AJAM1,OPR,2021-03-16,2037-03-16,2021-03-16,CONT,D,0,
3130AJAQ2,OPR,2021-03-12,2035-03-12,2021-03-12,CONT,D,0,
3130AJB24,OPR,2021-03-19,2040-03-19,2021-03-19,CONT,D,0,
3130AJB99,OPR,2022-03-09,2035-03-09,2022-03-09,CONT,D,0,
3130AJBD0,OPR,2022-03-10,2025-03-10,2022-03-10,CONT,D,0,
3130AJBG3,OPR,2021-03-02,2045-03-02,2022-09-02,FLEX,Q,0,
3130AJBL2,OPR,2021-03-18,2038-03-18,2021-03-18,CONT,D,0,
3130AJBW8,OPR,2021-03-23,2045-03-23,2021-03-23,CONT,D,0,
3130AJBZ1,OPR,2021-03-23,2040-03-23,2021-03-23,CONT,D,0,
3130AJCP2,OPR,2020-06-10,2045-03-10,2020-06-10,CONT,D,0,
3130AJCT4,OPR,2021-03-11,2030-03-11,2021-03-11,CONT,D,0,
3130AJD71,OPR,2021-03-30,2035-03-30,2021-03-30,CONT,D,0,
3130AJD89,OPR,2020-09-30,2037-03-30,2020-09-30,CONT,D,0,
3130AJD97,OPR,2021-03-26,2040-03-26,2021-03-26,CONT,D,0,
3130AJDE6,OPR,2021-04-01,2032-04-01,2021-04-01,CONT,D,0,
3130AJDX4,OPR,2021-03-16,2040-03-16,2021-03-16,CONT,D,0,
3130AJE62,OPR,2021-03-18,2030-03-18,2021-03-18,CONT,D,0,
3130AJE88,OPR,2022-03-18,2037-03-18,2022-03-18,CONT,D,0,
3130AJE96,OPR,2020-06-19,2035-03-19,2020-06-19,CONT,D,0,
3130AJEA3,OPR,2020-10-08,2032-04-08,2020-10-08,CONT,D,0,
3130AJEB1,OPR,2021-03-19,2027-03-19,2021-03-19,CONT,D,0,
3130AJEM7,OPR,2020-06-26,2040-03-26,2020-06-26,CONT,D,0,
3130AJFD6,OPR,2021-03-25,2030-03-25,2021-03-25,CONT,D,0,
3130AJGM5,OPR,2022-04-08,2024-04-08,2022-04-08,CONT,D,0,
3130AJGN3,OPR,2022-04-07,2025-04-07,2022-04-07,CONT,D,0,
3130AJGU7,OPR,2021-04-15,2027-04-15,2021-04-15,CONT,D,0,
3130AJH36,OPR,2021-04-08,2030-04-08,2022-10-08,FLEX,Q,0,
3130AJHM4,OPR,2021-04-16,2035-04-16,2021-04-16,CONT,D,0,
3130AJHT9,OPR,2022-04-22,2024-04-22,2022-09-22,FLEX,M,0,
3130AJHZ5,OPR,2021-04-28,2045-04-28,2021-04-28,CONT,D,0,
3130AJJ83,OPR,2021-04-23,2030-04-23,2021-04-23,CONT,D,0,
3130AJJD2,OPR,2021-04-23,2040-04-23,2021-04-23,CONT,D,0,
3130AJJH3,OPR,2025-04-23,2035-04-23,2025-04-23,CONT,D,0,
3130AJJK6,OPR,2020-10-30,2040-04-30,2020-10-30,CONT,D,0,
3130AJJQ3,OPR,2021-04-27,2027-04-27,2021-04-27,CONT,D,0,
3130AJJT7,OPR,2021-05-04,2032-05-04,2021-05-04,CONT,D,0,
3130AJJU4,OPR,2021-05-04,2035-05-04,2021-05-04,CONT,D,0,
3130AJJV2,OPR,2021-04-28,2045-04-28,2021-04-28,CONT,D,0,
3130AJJY6,OPR,2021-02-05,2031-05-05,2021-02-05,CONT,D,0,
3130AJK32,OPR,2020-11-04,2035-05-04,2020-11-04,CONT,D,0,
3130AJK40,OPR,2021-05-04,2027-05-04,2021-05-04,CONT,D,0,
3130AJK57,OPR,2021-05-06,2029-11-06,2021-05-06,CONT,D,0,
3130AJKB4,OPR,2020-11-12,2030-11-12,2020-11-12,CONT,D,0,
3130AJKC2,OPR,2023-05-04,2035-05-04,2023-05-04,CONT,D,0,
3130AJKG3,OPR,2021-05-07,2040-05-07,2021-05-07,CONT,D,0,
3130AJKM0,OPR,2025-05-07,2035-05-07,2025-05-07,CONT,D,0,
3130AJKS7,OPR,2021-05-07,2030-05-07,2021-05-07,CONT,D,0,
3130AJKT5,OPR,2020-08-14,2030-05-14,2020-08-14,CONT,D,0,
3130AJKU2,OPR,2021-05-13,2033-05-13,2021-05-13,CONT,D,0,
3130AJKV0,OPR,2020-11-18,2040-05-18,2020-11-18,CONT,D,0,
3130AJL31,OPR,2020-11-19,2031-05-19,2020-11-19,CONT,D,0,
3130AJL49,OPR,2020-08-18,2040-05-18,2020-08-18,CONT,D,0,
3130AJL56,OPR,2021-05-11,2045-05-11,2021-05-11,CONT,D,0,
3130AJL80,OPR,2020-08-11,2035-05-11,2020-08-11,CONT,D,0,
3130AJL98,OPR,2020-08-18,2035-05-18,2020-08-18,CONT,D,0,
3130AJLA5,OPR,2021-05-19,2025-05-19,2021-05-19,CONT,D,0,
3130AJLB3,OPR,2020-11-19,2032-05-19,2020-11-19,CONT,D,0,
3130AJLD9,OPR,2020-11-18,2035-05-18,2020-11-18,CONT,D,0,
