CUSIP,SEQ,START,COUPON,MARGIN,SIMPNDX,FIRSTRST,CPNFRQ,FORMULA
3130A8MC4,1,2016-06-28,1.36,0.0,0,N/A,S,1.36
3130A9SN2,1,2016-10-18,1.705,0.0,0,N/A,S,1.705
3130A9UE9,1,2016-11-16,2.25,0.0,0,N/A,S,2.25
3130A9UL3,1,2016-11-17,2.0,0.0,0,N/A,S,2.0
3130A9W23,1,2016-11-21,2.25,0.0,0,N/A,S,2.25
3130AA3B2,1,2016-11-15,1.91,0.0,0,N/A,S,1.91
3130A9ZX2,1,2016-11-10,1.67,0.0,0,N/A,S,1.67
3130AA5E4,1,2016-11-29,2.0,0.0,0,N/A,S,2.0
3130AAAG3,1,2016-11-23,2.625,0.0,0,N/A,S,2.625
3130AAFZ6,1,2016-12-14,2.28,0.0,0,N/A,S,2.28
3130AAGH5,1,2016-12-16,2.2,0.0,0,N/A,S,2.2
3130AAGU6,1,2016-12-16,2.75,0.0,0,N/A,S,2.75
3130AAHE1,1,2016-12-20,2.5,0.0,0,N/A,S,2.5
3130AAJM1,1,2016-12-30,3.0,0.0,0,N/A,S,3.0
3130AAXL7,1,2017-03-10,2.42,0.0,0,N/A,S,2.42
3130AAXM5,1,2017-03-08,2.42,0.0,0,N/A,S,2.42
3130AAUF3,1,2017-02-21,2.75,0.0,0,N/A,S,2.75
3130AB3Y0,1,2017-04-26,2.1,0.0,0,N/A,S,2.1
3130AB4N3,1,2017-04-05,2.35,0.0,0,N/A,S,2.35
3130AB5Q5,1,2017-04-13,2.05,0.0,0,N/A,S,2.05
3130ABQG4,1,2017-07-12,3.0,0.0,0,N/A,S,3.0
3130ABPR1,1,2017-06-29,1.985,0.0,0,N/A,S,1.985
3130ABMS2,1,2017-06-22,1.98,0.0,0,N/A,S,1.98
3130ABMY9,1,2017-06-21,1.98,0.0,0,N/A,S,1.98
3130ABN44,1,2017-06-28,1.85,0.0,0,N/A,S,1.85
3130ABNK8,1,2017-07-13,1.89,0.0,0,N/A,S,1.89
3130ABNR3,1,2017-06-23,2.175,0.0,0,N/A,S,2.175
3130ACJ54,1,2017-09-27,1.96,0.0,0,N/A,S,1.96
3130ABYH3,1,2017-07-28,1.99,0.0,0,N/A,S,1.99
3130ACUP7,1,2017-11-29,3.2,0.0,0,N/A,S,3.2
3130ACUU6,1,2017-11-15,2.305,0.0,0,N/A,S,2.305
3130ACR97,1,2017-11-01,2.07,0.0,0,N/A,S,2.07
3130ACRK2,1,2017-11-28,2.15,0.0,0,N/A,S,2.15
3130ACS96,1,2017-11-07,2.03,0.0,0,N/A,S,2.03
3130ACP24,1,2017-10-18,1.97,0.0,0,N/A,S,1.97
3130ACP40,1,2017-10-18,1.97,0.0,0,N/A,S,1.97
3130ACLM4,1,2017-10-25,1.3,0.0,0,N/A,S,1.3
3130ACLM4,2,2018-04-25,2.375,0.0,0,N/A,S,2.375
3130ACXR0,1,2017-11-30,2.175,0.0,0,N/A,S,2.175
3130ACUX0,1,2017-11-16,2.1,0.0,0,N/A,S,2.1
3130ACVU5,1,2017-11-17,2.07,0.0,0,N/A,S,2.07
3130AD3Y6,1,2017-12-19,2.19,0.0,0,N/A,S,2.19
3130AD5A6,1,2017-12-28,2.28,0.0,0,N/A,S,2.28
3130ADQF2,1,2018-02-22,2.65,0.0,0,N/A,S,2.65
3130ADRA2,1,2018-02-28,2.8,0.0,0,N/A,S,2.8
3130ADRB0,1,2018-02-28,2.75,0.0,0,N/A,S,2.75
3130ADRC8,1,2018-02-28,2.66,0.0,0,N/A,S,2.66
3130ADRG9,1,2018-03-01,2.75,0.0,0,N/A,S,2.75
3130ADRH7,1,2018-03-01,2.875,0.0,0,N/A,S,2.875
3130ADRJ3,1,2018-02-28,2.65,0.0,0,N/A,S,2.65
3130ADRK0,1,2018-02-28,2.67,0.0,0,N/A,S,2.67
3130ADRL8,1,2018-02-28,2.68,0.0,0,N/A,S,2.68
3130ADRX2,1,2018-03-02,2.625,0.0,0,N/A,S,2.625
3130ADS60,1,2018-03-05,2.98,0.0,0,N/A,S,2.98
3130ADSE3,1,2018-03-07,2.75,0.0,0,N/A,S,2.75
3130ADMX7,1,2018-02-08,2.5,0.0,0,N/A,S,2.5
3130ADPS5,1,2018-02-20,2.99,0.0,0,N/A,S,2.99
3130ADQ54,1,2018-02-28,2.72,0.0,0,N/A,S,2.72
3130ADHF2,1,2018-01-29,2.65,0.0,0,N/A,S,2.65
3130ADEV0,1,2018-01-17,2.38,0.0,0,N/A,S,2.38
3130ADAN2,1,2017-12-27,2.44,0.0,0,N/A,S,2.44
3130ADAZ5,1,2017-12-26,2.33,0.0,0,N/A,S,2.33
3130ADBK7,1,2018-01-24,3.27,0.0,0,N/A,S,3.27
3130AD6L1,1,2017-12-27,2.9,0.0,0,N/A,S,2.9
3130AD7C0,1,2017-12-21,2.75,0.0,0,N/A,S,2.75
3130AD7H9,1,2017-12-28,2.27,0.0,0,N/A,S,2.27
3130AERK8,1,2018-08-07,2.88,0.0,0,N/A,S,2.88
3130AERV4,1,2018-08-09,3.125,0.0,0,N/A,S,3.125
3130AERX0,1,2018-08-08,2.83,0.0,0,N/A,M,2.83
3130AEJQ4,1,2018-07-11,3.93,0.0,0,N/A,S,3.93
3130AEJS0,1,2018-06-26,2.75,0.0,0,N/A,S,2.75
3130AEK33,1,2018-06-27,2.76,0.0,0,N/A,S,2.76
3130AEKC3,1,2018-06-28,2.84,0.0,0,N/A,S,2.84
3130AEKM1,1,2018-06-29,2.76,0.0,0,N/A,S,2.76
3130AEKQ2,1,2018-06-29,2.73,0.0,0,N/A,S,2.73
3130AEKR0,1,2018-06-29,2.73,0.0,0,N/A,S,2.73
3130AELP3,1,2018-07-10,2.8,0.0,0,N/A,S,2.8
3130AEM31,1,2018-07-12,3.25,0.0,0,N/A,S,3.25
3130AEM64,1,2018-07-12,2.87,0.0,0,N/A,S,2.87
3130AEMB3,1,2018-07-13,3.375,0.0,0,N/A,S,3.375
3130AEML1,1,2018-07-13,2.87,0.0,0,N/A,S,2.87
3130AEFC9,1,2018-06-06,2.98,0.0,0,N/A,S,2.98
3130AEFG0,1,2018-06-07,3.125,0.0,0,N/A,S,3.125
3130AEFL9,1,2018-06-12,3.74,0.0,0,N/A,S,3.74
3130AEH78,1,2018-06-28,3.94,0.0,0,N/A,S,3.94
3130AEHA1,1,2018-06-22,3.625,0.0,0,N/A,S,3.625
3130AEHN3,1,2018-06-20,2.84,0.0,0,N/A,S,2.84
3130AEBV1,1,2018-05-11,3.125,0.0,0,N/A,S,3.125
3130AEBY5,1,2018-05-10,2.85,0.0,0,N/A,S,2.85
3130AEC24,1,2018-05-11,2.799,0.0,0,N/A,S,2.799
3130AEC32,1,2018-05-17,2.837,0.0,0,N/A,S,2.837
3130AEC81,1,2018-05-16,3.56,0.0,0,N/A,S,3.56
3130AECH1,1,2018-05-18,3.375,0.0,0,N/A,S,3.375
3130AECM0,1,2018-05-21,3.625,0.0,0,N/A,S,3.625
3130AECN8,1,2018-05-21,3.75,0.0,0,N/A,S,3.75
3130AECR9,1,2018-05-25,4.08,0.0,0,N/A,S,4.08
3130AEDL1,1,2018-06-01,4.2,0.0,0,N/A,S,4.2
3130AEDV9,1,2018-06-01,4.15,0.0,0,N/A,S,4.15
3130AEDX5,1,2018-06-06,4.0,0.0,0,N/A,S,4.0
3130AEEC0,1,2018-05-30,2.72,0.0,0,N/A,S,2.72
3130AEED8,1,2018-05-30,2.63,0.0,0,N/A,S,2.63
3130AEEW6,1,2018-06-04,2.76,0.0,0,N/A,S,2.76
3130AEF88,1,2018-06-15,3.97,0.0,0,N/A,S,3.97
3130ADX31,1,2018-03-29,2.64,0.0,0,N/A,S,2.64
3130ADTV4,1,2018-03-12,2.827,0.0,0,N/A,S,2.827
3130ADU75,1,2018-03-14,3.0,0.0,0,N/A,S,3.0
3130ADUP5,1,2018-03-16,2.66,0.0,0,N/A,M,2.66
3130ADWK4,1,2018-03-27,2.67,0.0,0,N/A,S,2.67
3130AEU81,1,2018-08-23,2.84,0.0,0,N/A,S,2.84
3130AEUA6,1,2018-08-23,2.84,0.0,0,N/A,S,2.84
