 CUSIP              SEQ DESCRIP                                                      F  FIRSTRST         USAGE                          
 ------------------ --- ------------------------------------------------------------ -- ---------------- ------------------------------ 
 3130AK4Q6            1 Overnight SOFR                                               D  20200904         Coupon Reset                   
 3130AK5R3            1 Overnight SOFR                                               D  20200914         Coupon Reset                   
 3130AK5X0            1 Overnight SOFR                                               D  20200914         Coupon Reset                   
 3130AK6N1            1 Overnight SOFR                                               D  20200915         Coupon Reset                   
 3130AKBT2            1 Overnight SOFR                                               D  20201008         Coupon Reset                   
 3130AKD45            1 Overnight SOFR                                               D  20201023         Coupon Reset                   
 3130AKE28            1 Overnight SOFR                                               D  20201022         Coupon Reset                   
 3130AKEA0            1 Overnight SOFR                                               D  20201028         Coupon Reset                   
 3130AKET9            1 Overnight SOFR                                               D  20201029         Coupon Reset                   
 3130AKFC5            1 Overnight SOFR                                               D  20201103         Coupon Reset                   
 3130AKFR2            1 Overnight SOFR                                               D  20201109         Coupon Reset                   
 3130AKG34            1 Overnight SOFR                                               D  20201113         Coupon Reset                   
 3130AKGQ3            1 Overnight SOFR                                               D  20201120         Coupon Reset                   
 3130AKH82            1 Overnight SOFR                                               D  20201120         Coupon Reset                   
 3130AKHJ8            1 Overnight SOFR                                               D  20201124         Coupon Reset                   
 3130AKHU3            1 Overnight SOFR                                               D  20201201         Coupon Reset                   
 3130AKJK3            1 Overnight SOFR                                               D  20201209         Coupon Reset                   
 3130AKK47            1 Overnight SOFR                                               D  20201214         Coupon Reset                   
 3130AKKJ4            1 Overnight SOFR                                               D  20201215         Coupon Reset                   
 3130AKKN5            1 Overnight SOFR                                               D  20201215         Coupon Reset                   
 3130AKKW5            1 Overnight SOFR                                               D  20201222         Coupon Reset                   
 3130AKTD8            1 Overnight SOFR                                               D  20210119         Coupon Reset                   
 3130AKYV2            1 Overnight SOFR                                               D  20210202         Coupon Reset                   
 3130ALJ54            1 Overnight SOFR                                               D  20210225         Coupon Reset                   
 3130ALKH6            1 Overnight SOFR                                               D  20210301         Coupon Reset                   
 3130ALR48            1 Overnight SOFR                                               D  20210315         Coupon Reset                   
 3130ALSC9            1 Overnight SOFR                                               D  20210318         Coupon Reset                   
 3130ALV76            1 Overnight SOFR                                               D  20210326         Coupon Reset                   
 3130AMER9            1 Overnight SOFR                                               D  20210504         Coupon Reset                   
 3130AMGN6            1 Overnight SOFR                                               D  20210507         Coupon Reset                   
 3130AMLQ3            1 Overnight SOFR                                               D  20210519         Coupon Reset                   
 3130AMMK5            1 Overnight SOFR                                               D  20210520         Coupon Reset                   
 3130AMRM6            1 Overnight SOFR                                               D  20210601         Coupon Reset                   
 3130AMTE2            1 Overnight SOFR                                               D  20210604         Coupon Reset                   
 3130AMX72            1 Overnight SOFR                                               D  20210617         Coupon Reset                   
 3130AMYW6            1 Overnight SOFR                                               D  20210622         Coupon Reset                   
 3130AN5T3            1 Overnight SOFR                                               D  20210701         Coupon Reset                   
 3130AN6B1            1 Overnight SOFR                                               D  20210702         Coupon Reset                   
 3130AN6M7            1 Overnight SOFR                                               D  20210707         Coupon Reset                   
 3130ANJG6            1 Overnight SOFR                                               D  20210806         Coupon Reset                   
 3130ANL32            1 Overnight SOFR                                               D  20210809         Coupon Reset                   
 3130ANL65            1 Overnight SOFR                                               D  20210806         Coupon Reset                   
 3130ANLY4            1 Overnight SOFR                                               D  20210809         Coupon Reset                   
 3130ANQ94            1 Overnight SOFR                                               D  20210812         Coupon Reset                   
 3130ANWS5            1 Overnight SOFR                                               D  20210903         Coupon Reset                   
 3130ANWU0            1 Overnight SOFR                                               D  20210831         Coupon Reset                   
 3130ANWZ9            1 Overnight SOFR                                               D  20210907         Coupon Reset                   
 3130ANX70            1 Overnight SOFR                                               D  20210901         Coupon Reset                   
 3130ANY61            1 Overnight SOFR                                               D  20210914         Coupon Reset                   
 3130ANZN3            1 Overnight SOFR                                               D  20210914         Coupon Reset                   
 3130ANZT0            1 Overnight SOFR                                               D  20210916         Coupon Reset                   
 3130AP3L7            1 Overnight SOFR                                               D  20210915         Coupon Reset                   
 3130APA54            1 Overnight SOFR                                               D  20211004         Coupon Reset                   
 3130APF42            1 Overnight SOFR                                               D  20210930         Coupon Reset                   
 3130APFC4            1 Overnight SOFR                                               D  20211001         Coupon Reset                   
 3130APFD2            1 Overnight SOFR                                               D  20210930         Coupon Reset                   
 3130APLT0            1 Overnight SOFR                                               D  20211021         Coupon Reset                   
 3130APLU7            1 Overnight SOFR                                               D  20211022         Coupon Reset                   
 3130APZG3            1 Overnight SOFR                                               D  20211119         Coupon Reset                   
 3130AQ5J8            1 Overnight SOFR                                               D  20211201         Coupon Reset                   
 3130AQ6L2            1 Overnight SOFR                                               D  20211201         Coupon Reset                   
 3130AQAN3            1 Overnight SOFR                                               D  20211209         Coupon Reset                   
 3130AQAP8            1 Overnight SOFR                                               D  20211208         Coupon Reset                   
