"ID System: Additional Noninterest Income"
"","Title","Variable","Definition"
"1.","Number of Institutions Reporting","instcnt","The number of institutions represented in that column of data.  This number is used primarily for peer group data. "
"2.","Additional NonInterest Income","idothnii"," Includes the following noninterest income: investment banking, advisory, brokerage, and underwriting;Venture capital revenue;Net Servicing fees;Net securitization income;Insurance commission fees and income;Net gains (losses) on sales of loans;Net gains (losses) on sales of real estate owned;Net gains (losses) on sales of other assets (excluding securities);and Other noninterest income. RIS definition = IDOTHNII = NONII - SUM(IFIDUC, ISERCHG, IGLTRAD) "
"3.","Investment Banking, Advisory, Brokerage, and Underwriting Fees and Commissions","iinvfee"," Investment banking, advisory, brokerage, and underwriting fees and commissions is available beginning in March 2001. It includes, as an example, report fees and commissions from underwriting securities, private placements of securities, investment advisory and management services, or merger and acquisition services. beginning March 2007, these fees and commissions are further broken down and reported as subcategories. also beginning March 2007, this includes fees and commissionsfrom annuity sales from all sources (not just brokerage subsidiaries.  "
"4.","Venture Capital Revenue","ivencap"," Venture capital revenue on a consolidated basis available beginning in March 2001. Reported net gains or (losses) on venture capital activities and any fee income from those activities that is not reported in one of the preceding items on the income statement.     This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"5.","Net Servicing Fees","iserfee","Reported income from servicing real estate mortgages, credit cards, and other financial assets held by others. Including any premiums received in lieu of regular servicing . Available beginning in March 2001."
"6.","Net Securitization Income","isecz"," Reported net gains or (losses) on assets sold in securitization transactions. Included are fees, other than servicing fees, earned from the bank's securitization transactions and unrealized losses (and recoveries of unrealized losses) on loans and leases held for sale in securitization transactions. Available beginning in March 2001.     This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"7.","insurance Commission Fees and Income","iinscom"," Reported income from underwriting insurance, from the sale of insurance or from reinsurance.  Including fees, commissions, service charges, etc… Available beginning in March 2001.   This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"8.","insurance Underwriting Income","iinsund"," This item is available beginning in March 2003. the amount of premiums earned by bank subsidiaries engaged in insurance underwriting or reinsurance activities. Included are earned premiums from (a) life and health insurance and (b) property and casualty insurance, whether (direct) underwritten business or ceded or assumed (reinsured) business. Insurance premiums are reported net of any premiums transferred to other insurance underwriters/reinsurers in conjunction with reinsurance contracts. It also includes the bank's proportionate share of the income or loss before extraordinary items and other adjustments from its investments in equity method investees that are principally engaged in insurance underwriting or reinsurance activities. Equity method investees include unconsolidated subsidiaries;associated companies;and corporate joint ventures, unincorporated joint ventures, general partnerships, and limited partnerships over which the bank exercises significant influence. Income from insurance product sales and referrals is excluded (see - Other insurance income and fees). Not available for TFR Reporters.  "
"9.","Other insurance Commissions and Fees","iinsoth"," This item is available beginning in March 2003. income from insurance product sales and referrals, including: (1) Service charges, commissions, and fees earned from insurance sales, including credit, life, health, property, casualty, and title insurance products as well as annuities (fixed, variable, and deferred). (2) Fees earned from customer referrals for insurance products and annuities to insurance companies and insurance agencies external to the consolidated bank. Also include management fees earned from separate accounts, deferred annuities, anduniversal life products. However, this item excludes commissions and fees from sales of annuities by the bank's trust department (or by a consolidated trust company subsidiary) that are executed in a fiduciary capacity. Also excluded are commissions and fees that the bank earns from the sale of annuities to bank customers by the bank’s securities brokerage subsidiary (See -'Investment banking, advisory, brokerage, and underwriting fees and commissions'). This item is not available for TFR Reporters.TFR reports ended December 2011. "
"10.","Net Gains (Losses) on Sales of Loans","netgnsln","Reported net gains or (losses) on sales or other disposal of loans and leases. This includes unrealized losses on loans and leases held for sale. Prior to March 2001 this was reported as a memoranda item only and was included in all other noninterest income. Also prior to March 2001 gains or losses on the sale of loans were reported as either noninterest income or noninterest expense."
"11.","Net Gains (Losses) on Sales of Other Real Estate Owned","netgnsre","Reported net gains or (losses) on the sales or other disposals of other real estate owned, increases and decreases in the valuation allowance for already foreclosed real estate, and write-downs charged to expense."
"12.","Net Gains (Losses) on Sales of Other Assets (Excluding Securities)","netgnast","Reported net gains or (losses) on sales or other disposal of other assets (e.g. premises and fixed assets, personal property acquired for debts previously contracted (such as automobiles, boats, equipment, and appliances); and coins, art, and other similar assets. Prior to March 2001 this was reported as a memoranda item only and was included in all other noninterest income. Also, prior to March 2001, gains and losses on sale of premises and fixed assets were reported as either noninterest income or noninterest expense."
"13.","Other Non-Interest Income","iotnii"," All non interest income of the bank not required to be reported elsewhere, including (but exclusive to): income and fees from the rental of safe deposit boxes;income and fees from the sale of checks, money orders, cashiers' checks, and travelers' checks;Income and fees from the use of the bank's ATMs;Income from performing data processing services for others;Earnings on or other increases in the value of the cash surrender value of bank-owned life insurance policies;Rent and other income from Real Estate Owned. This item includes trading revenue and venture capital revenue for institutions filing a FFIEC Call Report 51.  "
