"ID System: Noncurrent loans to loans"
"","Title","Variable","Definition"
"1.","Noncurrent Loans to Loans","nclnlsr","Total noncurrent loans and leases, Loans and leases 90 days or more past due plus loans in nonaccrual status,  as a percent of gross loans and leases."
"2.","% Loans Noncurrent: Real Estate Loans","ncrer","Real estate loans past due 90 days or more plus loans placed in nonaccrual status as a percent of real estate loans."
"3.","% Loans Noncurrent:Construction & Land Development","ncreconr","Noncurrent construction and land development loans secured as a percent of total construction and land development loans secured in domestic offices."
"4.","% Loans Noncurrent: Nonfarm Nonresidential","ncrenrer","Noncurrent nonfarm nonresidential (Commercial) real estate loans as a percent of total nonfarm nonresidential real estate loans in domestic offices."
"5.","% Loans Noncurrent: Multifamily Residential","ncremulr","Noncurrent multifamily residential real estate (5 or more) loans as a percent of total multifamily residential real estate loans in domestic offices."
"6.","% Loans Noncurrent: 1-4 Family Residential","ncreresr","Noncurrent loans secured by 1-4 family residential properties (including all 1-4 family loans except home equity loans) as a percent of total 1-4 family residential mortgage loans. This only applies to loans held in domestic offices."
"7.","% Loans Noncurrent: Home Equity Loans","ncrelocr","Noncurrent revolving, open-end loans secured by 1-4 family residential properties and extended under lines of credit as a percent of total revolving, open-end loans secured by 1-4 family residential properties and extended under lines of credit held in domestic offices."
"8.","Percent of Loans Noncurrent - All Other Family","ncrereor","Noncurrent loans secured by 1-4 other properties (includes all 1-4 family loans except home equity loans) as a percent of 1-4 other property loans."
"9.","% Loans Noncurrent:Commercial and Industrial Loans","idnccir"," Commercial and industrial loans 90 days or more past due and nonaccrual as a percent of total commercial and industrial loans. Note: For banks with assets of less than $300 million prior to 2001, this item includes all other loans (loans to depository institutions, agricultural loans, etc...). ris definition: idnccir = (ncci / lnci) * 100  "
"10.","% Loans Noncurrent: Loans To Individuals","idncconr"," Loans to Individuals for household, family and other personal expenditures 90 days or more past due and nonaccrual as a percent of total consumer loans. ris definition: idncconr = (nccon/lncon)* 100  "
"11.","% Loans Noncurrent: Credit Card Loans","idnccrdr"," Credit card loans to Individuals for household, family and other personal expenditures 90 days or more past due and nonaccrual as a percent of total credit card and related plan loans. note: prior to 2001, included revolving credit plans other than credit cards. ris definition:idnccrdr = (nccrcd / lncrcd)* 100  "
"12.","% Loans Noncurrent: Other Loans To Individuals","idnccoor"," Other loans to Individuals for household, family and other personal expenditures 90 days or more past due and nonaccrual as a percent of total other loans to Individuals (includes single payment, installment and all student loans). ris definition: idnccoor = ((ncconoth + ncauto) / (lnconorp + lnauto)  "
"13.","%  Loans Noncurrent: Automobile Loans","IDNCATOR"," Automobile loans 90 days or more past due and nonaccrual as a percent of total automobile loans to Individuals. The loans include all loans arising from retail sales of passenger cars and other vehicles such as minivans, vans, sport-utility vehicles, pickup trucks, and similar light trucks for personal use charged-off and recovered. Available as of March 2011. ris definition: idncator = (ncauto / lnauto) * 100  "
"14.","% Loans Noncurrent: Other Consumer  Loans","IDNCCOTR"," Other consumer loans Other loans to Individuals other consumer loans 90 days or more past due and nonaccrual as a percent of total other loans to Individuals. The loans are for household, family and other personal expenditures including single payment, installment and all student loans. Before March 2011 loans also includes automobile loans. ris definition: idnccotr = (ncconoth / lnconorp * 100  "
"15.","% Loans Noncurrent:Commercial Re Not Secured By Re","nccomrer","Loans to finance commercial real estate, construction and land development activities (not secured by real estate) which are 90 days past due or nonaccrual as a percent of total loans to finance commercial real estate, construction and land activities (not secured by real estate)."
"16.","Wholly Or Partially Us Gov. Guaranteed Noncurrent Loans As Percent of Noncurrent","idncgtpr"," Noncurrent Loans and leases wholly or partially guaranteed or Insured by the U.S. Government as a percent of total noncurrent loans and leases. Noncurrent loans and leases are loans that are past due 90 days or more or in nonaccrual status. The U.S. Government includes its agencies and its government-sponsored agencies. Examples include loans guaranteed by the FDIC (through loss-sharing arrangements in FDIC-assisted acquisitions), the Small Business Administration, and the Federal Housing Administration. Excluded are loans and leases guaranteed or Insured by state or local governments, state or local government agencies, foreign (non-U.S.) governments, and private agencies or organizations. Also excluded are loans and leases collateralized by securities issued by the U.S. Government, including its agencies and its government-sponsored agencies. Included in noncurrent total assets. ris definition = idncgtpr =(ncgtypar / nclnls) *100  "
