 CUSIP              CALLTYPE             STARTDT          ENDDT            NEXTCALL         DATE     F  SIMPNDX FORMULA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
 ------------------ -------------------- ---------------- ---------------- ---------------- -------- -- ------- ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
 3130A5G52          OPR                  20180525         20180525         20180525         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130A9UE9          OPR                  20181116         20181116         20181116         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130A9UL3          OPR                  20171117         20171117         20171117         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130A9W23          OPR                  20181121         20181121         20181121         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AA5E4          OPR                  20171129         20171129         20171129         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AB3Y0          OPR                  20190426         20190426         20190426         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130ABAX4          OPR                  20190517         20190517         20190517         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130ACLM4          OPR                  20180125         20180425         20180425         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130ACRK2          OPR                  20181128         20181128         20181128         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130ACUP7          OPR                  20221129         20321129         20221129         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130ACXR0          OPR                  20181130         20181130         20181130         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AD6L1          OPR                  20221227         20321227         20221227         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130ADBK7          OPR                  20230124         20330124         20230124         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130ADGP1          OPR                  20230126         20330126         20230126         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AE4J6          OPR                  20230427         20280427         20230427         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AE4K3          OPR                  20230427         20330427         20230427         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AE5C0          OPR                  20230427         20380427         20230427         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AE5L0          OPR                  20230426         20280426         20230426         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AE5M8          OPR                  20230426         20330426         20230426         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AECR9          OPR                  20230525         20330525         20230525         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AEDL1          OPR                  20230601         20380601         20230601         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AEDV9          OPR                  20230601         20380601         20230601         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AEDX5          OPR                  20230606         20330606         20230606         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AEF88          OPR                  20230615         20330615         20230615         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AEH78          OPR                  20230628         20330628         20230628         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AEJQ4          OPR                  20230711         20330711         20230711         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AEPQ7          OPR                  20230808         20330808         20230808         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AEY46          OPR                  20230928         20330928         20230928         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AEYE4          OPR                  20230927         20350927         20230927         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AF4W4          OPR                  20231024         20331024         20231024         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AF4X2          OPR                  20231019         20381019         20231019         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AFAT4          OPR                  20231102         20331102         20231102         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AFAU1          OPR                  20231102         20381102         20231102         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
